LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,non_overcrowded_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01004932,E01004932 : Bolton 017F,8.77,22.63,3.05,71.75,43.77,93.75,14.92,2.27,12.8,0.31
E01004834,E01004834 : Bolton 018A,10.13,23.53,7.2,64.84,44.08,86.76975945,12.98,2.07,12.6,0.24
E01004838,E01004838 : Bolton 018B,10.29,20.72,8.74,49.54,55.67,81.90184049,12.98,2.07,12.6,0.37
E01004843,E01004843 : Bolton 018C,2.93,46.49,36.92,19.26,14.58,97.59615385,11.91,1.91,11.72,0.52
E01004845,E01004845 : Bolton 018D,4.47,46.4,25.77,18.49,26.43,93.84615385,12.17,2.02,11.81,0.54
E01004923,E01004923 : Bolton 018E,5.54,33.62,2.68,64.25,36.95,91.66666667,12.36,1.99,11.98,0.31
E01004796,E01004796 : Bolton 019A,7.2,22.71,6.13,40.96,23.73,94.17910448,14.08,2.1,12.5,0.43
E01004798,E01004798 : Bolton 019B,8.21,18.58,5.86,34.44,41.38,88.45577211,13.75,2.04,12.38,0.43
E01004799,E01004799 : Bolton 019C,1.1,24.59,40.31,5.66,9.39,97.44027304,13.58,2.02,12.32,0.41
E01004800,E01004800 : Bolton 019D,2.72,27.04,15.41,6.95,14.23,97.00374532,13.41,1.99,12.18,0.41
E01004801,E01004801 : Bolton 019E,12.23,18.58,3.46,54.97,72.44,90.56886228,14.08,2.1,12.42,0.49
E01004917,E01004917 : Bolton 019F,8.81,25.12,21.71,29.54,33.72,94.15448852,14.67,2.24,12.72,0.49
E01004835,E01004835 : Bolton 020A,3.89,39.35,79.61,7.51,14.46,95.52772809,13.51,2.5,12.77,0.48
E01004836,E01004836 : Bolton 020B,6.17,35.71,61.86,15.75,17.08,93.68770764,13.15,2.25,12.8,0.45
E01004837,E01004837 : Bolton 020C,4.04,50.61,87.29,4.68,5.21,98.48993289,11.71,1.99,11.7,0.61
E01004844,E01004844 : Bolton 020D,3.8,55.17,86.5,2.93,7.15,98.53896104,11.44,2.01,12.36,0.61
E01004897,E01004897 : Bolton 020E,2.67,44.17,37.94,18.2,17.32,97.16157205,12.66,2.33,12.77,0.45
E01004827,E01004827 : Bolton 021A,12.11,15.84,6.55,54.76,62.41,76.41791045,13.07,2.09,12.6,0.36
E01004849,E01004849 : Bolton 021B,11.38,20.91,6.63,76.51,47.26,69.33867735,14.31,2.36,12.74,0.16
E01004850,E01004850 : Bolton 021C,18.64,19.24,3.88,50.58,67.48,79.06976744,13.34,2.18,12.15,0.29
E01004851,E01004851 : Bolton 021D,9.88,19.41,3.99,42.97,68.48,80.99041534,13.99,2.3,12.69,0.28
E01004853,E01004853 : Bolton 021E,10.85,21.13,8.35,69.25,55.71,73.67346939,13.34,2.18,12.37,0.31
E01004811,E01004811 : Bolton 022A,7.25,17.3,12.58,57.52,67.38,82.1812596,14.88,2.59,12.98,0.23
E01004812,E01004812 : Bolton 022B,11.46,21.08,8.8,51.61,57.86,77.12609971,15.09,2.68,13.04,0.19
E01004813,E01004813 : Bolton 022C,6.45,22.07,5,45.58,46.37,84.92366412,15.05,2.34,13.46,0.4
E01004815,E01004815 : Bolton 022D,9.82,23.56,12.61,33.39,37.41,86.34751773,14.99,2.69,12.74,0.38
E01004817,E01004817 : Bolton 022E,10.18,29.85,10.74,15.19,67.49,84.12371134,15.17,2.5,13.04,0.16
E01004828,E01004828 : Bolton 023A,11.37,21.74,5.41,74.88,58.1,75.55555556,13.39,2.13,12.85,0.23
E01004829,E01004829 : Bolton 023B,10.13,22.6,8.54,75.83,56.85,80.08298755,13.34,2.18,12.59,0.17
E01004832,E01004832 : Bolton 023C,5.65,25.26,7.39,69.5,30.36,86.99059561,13.92,1.96,13.56,0.22
E01004854,E01004854 : Bolton 023D,11.01,20.93,6.7,77.32,44.49,74.35344828,13.34,2.18,12.59,0.13
E01004878,E01004878 : Bolton 023E,9.41,22.97,3.86,36.21,34.31,85.16483516,14.08,2.02,13.3,0.38
