LSOA21CD,2021 super output area - lower layer,Total: All usual residents,Very good health,Good health,Fair health,Bad health,Very bad health
E01005703,E01005703 : Salford 002A,1748,776,534,264,133,41
E01005704,E01005704 : Salford 002B,1344,570,462,206,80,26
E01005706,E01005706 : Salford 002C,1538,617,509,260,121,31
E01005708,E01005708 : Salford 002D,1435,595,471,237,105,27
E01005702,E01005702 : Salford 003A,2637,1283,820,343,152,39
E01005707,E01005707 : Salford 003C,1752,747,600,259,112,34
E01033976,E01033976 : Salford 003D,1965,1178,606,139,26,16
E01033977,E01033977 : Salford 003E,1143,506,383,154,80,20
E01005661,E01005661 : Salford 004A,1900,802,671,279,112,36
E01005662,E01005662 : Salford 004B,1623,688,525,258,121,31
E01005709,E01005709 : Salford 004C,1606,666,501,262,123,54
E01005710,E01005710 : Salford 004D,2144,1105,670,260,81,28
E01005670,E01005670 : Salford 005A,1759,818,522,254,125,40
E01005672,E01005672 : Salford 005B,1276,564,483,157,58,14
E01005676,E01005676 : Salford 005C,1225,539,446,171,56,13
E01005677,E01005677 : Salford 005D,1581,708,556,207,87,23
E01005686,E01005686 : Salford 006A,1465,659,506,212,72,16
E01005688,E01005688 : Salford 006B,1565,736,539,209,60,21
E01005691,E01005691 : Salford 006C,1414,567,521,231,74,21
E01005692,E01005692 : Salford 006D,1375,526,456,230,138,25
E01005711,E01005711 : Salford 007A,1396,678,466,168,60,24
E01005712,E01005712 : Salford 007B,1839,909,631,201,79,19
E01005713,E01005713 : Salford 007C,1628,843,515,197,58,15
E01005714,E01005714 : Salford 007D,1712,824,540,229,91,28
E01005715,E01005715 : Salford 007E,1746,909,579,180,61,17
E01005718,E01005718 : Salford 007F,1601,742,517,240,78,24
E01005673,E01005673 : Salford 008A,1486,696,516,191,61,22
E01005678,E01005678 : Salford 008C,1569,702,524,232,82,29
E01005679,E01005679 : Salford 008D,1549,740,495,193,92,29
E01033978,E01033978 : Salford 008E,1027,573,328,89,30,7
E01033979,E01033979 : Salford 008F,2044,849,749,334,94,18
E01005687,E01005687 : Salford 009A,1804,835,649,218,78,24
E01005689,E01005689 : Salford 009B,1366,593,474,197,77,25
E01005690,E01005690 : Salford 009C,1568,706,540,208,93,21
E01005693,E01005693 : Salford 009D,1432,665,524,189,35,19
E01005646,E01005646 : Salford 010A,2252,1524,478,211,33,6
E01005649,E01005649 : Salford 010B,1723,1082,423,160,48,10
E01005650,E01005650 : Salford 010C,1993,1308,433,165,64,23
E01005651,E01005651 : Salford 010D,2276,1609,438,148,65,16
E01005647,E01005647 : Salford 011A,1501,858,365,207,47,24
E01005648,E01005648 : Salford 011B,2351,1314,725,218,75,19
E01005652,E01005652 : Salford 011C,1555,770,467,217,74,27
E01005653,E01005653 : Salford 011D,1563,762,493,190,92,26
E01005671,E01005671 : Salford 012A,1566,698,517,237,83,31
