LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,no_car_ratio_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01005586,E01005586 : Rochdale 004C,10.63,19.98,6.51,58.57,63.45,44.87,12.52,1.95,12.09,0.47
E01005593,E01005593 : Rochdale 004D,5.29,26.51,21.49,25.33,36.92,19.07,12.13,2.09,11.93,0.41
E01005595,E01005595 : Rochdale 004E,9.72,20.40,8.27,25.87,70.41,46.05,12.13,2.09,12.27,0.44
E01005489,E01005489 : Rochdale 005A,3.98,28.90,54.35,10.47,19.76,15.58,12.89,1.81,11.77,0.47
E01005490,E01005490 : Rochdale 005B,9.86,21.27,3.32,13.27,50.59,25.36,11.88,1.78,11.50,0.46
E01005491,E01005491 : Rochdale 005C,5.59,28.07,16.30,29.81,35.10,24.85,11.82,1.76,11.58,0.53
E01005493,E01005493 : Rochdale 005D,2.80,38.28,62.29,11.87,17.18,8.94,12.53,1.79,11.76,0.43
E01005494,E01005494 : Rochdale 005E,4.96,27.75,26.02,37.27,32.26,18.48,13.12,1.80,12.01,0.45
E01005495,E01005495 : Rochdale 005F,4.97,23.38,24.68,36.38,37.34,23.82,13.95,1.85,12.10,0.44
E01005488,E01005488 : Rochdale 006A,2.90,39.64,46.32,8.38,10.10,4.44,9.88,1.59,10.73,0.48
E01005492,E01005492 : Rochdale 006B,4.43,35.34,56.82,11.36,9.39,9.58,11.12,1.80,11.28,0.46
E01005499,E01005499 : Rochdale 006C,3.10,31.62,19.68,42.86,31.77,13.32,10.70,1.60,10.88,0.70
E01005571,E01005571 : Rochdale 006D,3.13,36.91,39.89,28.06,14.17,8.12,9.79,1.53,10.49,0.52
E01005570,E01005570 : Rochdale 007A,4.30,39.40,44.56,30.27,21.56,10.53,10.13,1.66,11.01,0.43
E01005572,E01005572 : Rochdale 007B,5.06,38.12,34.71,8.76,12.76,9.39,10.98,1.79,11.28,0.39
E01005573,E01005573 : Rochdale 007C,3.91,41.05,68.55,1.59,11.37,9.38,11.03,1.78,11.33,0.45
E01005574,E01005574 : Rochdale 007D,3.64,40.77,60.37,20.03,17.17,9.96,11.55,1.84,11.47,0.51
E01005587,E01005587 : Rochdale 007E,2.32,44.59,77.78,11.11,13.20,7.78,10.89,1.78,11.33,0.48
E01005588,E01005588 : Rochdale 007F,3.44,24.37,22.34,40.58,44.38,31.30,11.40,1.80,11.46,0.46
E01005580,E01005580 : Rochdale 008A,7.58,21.43,3.46,72.15,43.25,28.05,14.57,1.95,12.39,0.24
E01005581,E01005581 : Rochdale 008B,10.03,21.82,4.30,50.49,60.97,40.08,14.16,1.96,12.78,0.29
E01005583,E01005583 : Rochdale 008D,14.56,19.12,6.94,49.52,59.23,43.82,14.57,1.95,12.39,0.20
E01005585,E01005585 : Rochdale 008F,9.88,24.10,8.02,36.27,42.80,21.44,14.27,1.93,13.03,0.34
E01034234,E01034234 : Rochdale 008H,11.32,22.83,5.69,74.84,37.06,29.41,15.02,2.00,12.73,0.22
E01034235,E01034235 : Rochdale 008I,13.18,21.88,7.22,47.77,55.93,33.97,14.16,1.96,12.78,0.32
E01005496,E01005496 : Rochdale 009A,9.49,18.15,2.37,20.32,66.80,34.71,11.21,1.78,11.43,0.42
E01005589,E01005589 : Rochdale 009B,7.09,25.73,3.64,69.79,38.39,25.87,12.34,1.82,11.85,0.37
E01005590,E01005590 : Rochdale 009C,8.70,24.05,10.16,54.55,38.28,25.58,13.23,1.93,12.05,0.42
E01005591,E01005591 : Rochdale 009D,5.40,30.18,18.68,33.08,30.23,18.32,11.95,1.83,11.59,0.39
E01005592,E01005592 : Rochdale 009E,8.22,26.83,10.31,17.35,47.46,29.74,12.73,1.93,11.87,0.51
E01005472,E01005472 : Rochdale 010A,10.43,23.50,10.41,35.90,55.24,40.72,13.70,2.04,12.46,0.35
E01005473,E01005473 : Rochdale 010B,11.40,24.77,5.33,47.53,38.07,25.69,14.25,2.02,12.46,0.36
E01005482,E01005482 : Rochdale 010C,18.71,18.57,2.80,9.52,87.91,66.37,14.07,1.95,12.39,0.16
E01005483,E01005483 : Rochdale 010D,11.26,20.25,3.21,33.16,69.11,52.58,13.23,1.84,11.99,0.33
E01005484,E01005484 : Rochdale 010E,15.51,20.68,2.84,32.77,76.93,53.28,13.23,1.93,12.15,0.24
E01005486,E01005486 : Rochdale 010F,13.87,23.27,5.52,71.74,58.50,41.40,14.12,1.91,12.05,0.22
E01005487,E01005487 : Rochdale 010G,6.39,24.37,5.81,58.12,44.69,31.90,13.23,1.86,11.95,0.38
E01005474,E01005474 : Rochdale 011A,6.70,26.92,42.65,15.13,21.59,19.33,13.02,2.03,12.05,0.40
E01005575,E01005575 : Rochdale 011B,4.76,40.16,53.68,18.42,16.32,11.56,12.39,2.03,11.84,0.44
E01005576,E01005576 : Rochdale 011C,4.08,49.29,81.18,3.14,7.35,7.16,12.22,1.92,11.63,0.51
E01005577,E01005577 : Rochdale 011D,4.44,42.86,38.18,8.35,13.12,10.05,12.56,1.94,11.87,0.50
E01005469,E01005469 : Rochdale 012A,5.38,25.91,11.22,38.34,25.36,22.56,15.10,1.88,13.08,0.24
E01005563,E01005563 : Rochdale 012B,8.79,25.48,5.39,54.75,47.10,27.48,14.77,1.87,13.18,0.27
E01005565,E01005565 : Rochdale 012C,7.63,23.29,21.83,8.77,45.22,27.53,14.80,1.86,13.30,0.43
E01005566,E01005566 : Rochdale 012D,7.28,24.34,7.74,42.81,46.50,27.54,13.70,1.92,12.84,0.36
E01005568,E01005568 : Rochdale 012E,16.02,17.82,7.95,35.17,79.17,49.62,14.15,1.91,13.14,0.35
E01005569,E01005569 : Rochdale 012F,9.94,22.03,4.84,15.94,49.92,31.82,14.15,1.91,13.14,0.33
E01005556,E01005556 : Rochdale 013A,5.16,28.76,23.57,39.86,32.23,23.78,13.44,1.81,12.70,0.32
E01005559,E01005559 : Rochdale 013B,6.34,21.86,12.24,48.79,59.55,35.50,13.56,1.81,12.96,0.49
E01005560,E01005560 : Rochdale 013C,4.34,25.82,9.97,25.43,24.31,15.82,13.75,1.79,13.23,0.33
E01005567,E01005567 : Rochdale 013D,3.64,31.64,15.88,21.22,31.19,20.69,13.86,1.81,13.21,0.35
E01005555,E01005555 : Rochdale 014A,3.17,33.04,26.59,11.29,17.30,10.20,12.49,1.76,12.26,0.40
E01005557,E01005557 : Rochdale 014B,2.04,27.97,19.32,15.29,7.24,10.08,14.26,1.86,12.95,0.37
E01005558,E01005558 : Rochdale 014C,3.76,27.61,9.10,25.75,40.11,22.90,13.85,1.83,12.83,0.38
E01005561,E01005561 : Rochdale 014D,4.06,29.50,11.38,45.38,30.82,13.41,10.11,1.52,11.03,0.52
E01005562,E01005562 : Rochdale 014E,5.30,27.02,16.15,47.14,39.79,22.83,13.03,1.72,13.40,0.42
E01005470,E01005470 : Rochdale 015A,11.28,22.57,9.38,59.96,54.21,31.51,13.96,1.91,12.63,0.25
E01005471,E01005471 : Rochdale 015B,11.78,23.38,5.63,60.04,42.00,31.69,14.59,2.05,12.46,0.37
E01005475,E01005475 : Rochdale 015C,8.40,23.09,5.04,26.89,50.25,34.34,14.92,1.94,12.63,0.39
E01005485,E01005485 : Rochdale 015D,11.66,25.09,7.13,59.73,51.26,36.01,13.72,1.92,12.37,0.18
E01005564,E01005564 : Rochdale 015E,13.75,22.33,6.65,59.16,64.27,36.55,14.60,1.93,12.69,0.17
E01005464,E01005464 : Rochdale 016A,8.79,20.72,6.75,10.64,58.28,33.28,16.09,1.97,13.15,0.49
E01005465,E01005465 : Rochdale 016B,4.34,27.80,22.35,25.51,40.75,30.59,14.81,1.87,12.98,0.38
E01005466,E01005466 : Rochdale 016C,12.01,19.92,4.70,16.73,73.97,45.32,16.02,1.93,13.30,0.52
E01005467,E01005467 : Rochdale 016D,9.96,21.19,8.54,20.34,58.24,38.15,15.35,1.91,13.42,0.45
E01005468,E01005468 : Rochdale 016E,1.59,40.00,42.39,11.71,11.06,5.90,13.99,1.83,12.89,0.42
E01005476,E01005476 : Rochdale 017A,4.55,24.33,9.78,39.51,33.20,21.45,14.40,1.94,13.45,0.36
E01005477,E01005477 : Rochdale 017B,8.12,22.04,3.17,63.92,63.18,42.47,15.49,2.03,13.49,0.23
E01005478,E01005478 : Rochdale 017C,7.08,25.71,31.89,27.40,31.49,24.66,14.84,1.97,12.88,0.37
E01005479,E01005479 : Rochdale 017D,5.29,27.17,15.10,26.65,28.03,16.67,14.35,1.88,12.85,0.44
E01005480,E01005480 : Rochdale 017E,5.76,24.54,17.27,24.65,35.84,27.86,14.37,2.07,12.26,0.47
E01005481,E01005481 : Rochdale 017F,5.17,25.88,26.24,26.42,25.64,22.64,14.38,2.10,12.89,0.44
E01005497,E01005497 : Rochdale 018A,7.43,21.79,4.67,43.66,56.82,34.58,13.62,2.00,12.60,0.40
E01005501,E01005501 : Rochdale 018B,7.29,18.85,3.42,37.63,74.77,47.48,13.57,1.98,12.83,0.25
E01005502,E01005502 : Rochdale 018C,3.78,16.83,3.68,56.47,44.71,32.70,13.90,1.88,13.53,0.36
E01005504,E01005504 : Rochdale 018D,8.57,22.42,10.70,57.04,47.18,32.25,13.96,1.86,13.11,0.35
E01005505,E01005505 : Rochdale 018E,5.20,21.50,13.74,43.91,38.19,28.07,13.71,1.87,13.00,0.33
E01005509,E01005509 : Rochdale 018F,10.57,18.46,2.07,45.52,64.77,46.81,13.83,1.98,12.93,0.36
E01005510,E01005510 : Rochdale 019A,3.81,24.40,20.99,10.84,7.67,10.61,13.43,1.93,12.44,0.37
E01005511,E01005511 : Rochdale 019B,4.75,19.16,10.39,26.07,19.76,15.48,14.38,2.22,13.21,0.37
E01005512,E01005512 : Rochdale 019C,6.72,20.75,4.83,41.93,42.08,28.81,14.83,2.35,13.20,0.41
E01005513,E01005513 : Rochdale 019D,8.57,23.61,4.89,49.05,64.66,39.18,15.55,2.59,13.80,0.52
E01005514,E01005514 : Rochdale 019E,5.21,22.03,10.18,57.09,43.28,25.29,15.06,2.35,13.05,0.52
E01005515,E01005515 : Rochdale 019F,8.85,14.50,4.38,64.82,72.66,40.15,15.55,2.54,13.59,0.54
E01005498,E01005498 : Rochdale 020A,6.62,24.72,6.41,75.89,42.93,30.15,13.30,2.04,12.69,0.29
E01005500,E01005500 : Rochdale 020B,5.53,20.77,15.90,50.15,28.42,18.36,13.48,1.98,12.86,0.40
E01005503,E01005503 : Rochdale 020C,3.05,31.89,60.42,5.11,8.33,7.95,13.96,1.86,13.11,0.41
E01005506,E01005506 : Rochdale 020D,5.22,21.21,14.64,30.51,39.72,28.04,13.87,1.89,13.64,0.42
E01005507,E01005507 : Rochdale 020E,6.38,27.84,11.13,55.46,35.91,20.39,14.73,1.91,14.27,0.24
E01005508,E01005508 : Rochdale 020F,3.43,32.71,49.43,9.81,12.17,7.64,14.82,1.81,13.72,0.48
E01005524,E01005524 : Rochdale 021A,6.08,25.66,5.67,32.90,26.54,24.43,15.72,2.25,13.06,0.43
E01005525,E01005525 : Rochdale 021B,10.41,23.88,5.36,18.88,65.23,41.94,14.61,2.03,12.87,0.54
E01005526,E01005526 : Rochdale 021C,5.62,29.72,25.70,25.32,38.01,24.05,14.54,1.93,13.22,0.42
E01005528,E01005528 : Rochdale 021D,7.66,23.20,3.28,27.57,41.47,30.15,14.84,2.10,12.92,0.53
E01005536,E01005536 : Rochdale 021E,6.11,22.12,7.07,40.35,47.14,28.17,15.05,2.13,12.96,0.38
E01005543,E01005543 : Rochdale 021F,4.53,23.97,11.31,33.14,19.65,14.37,14.25,1.96,12.73,0.44
E01005527,E01005527 : Rochdale 022A,7.35,26.01,10.44,36.89,54.49,35.91,15.30,2.04,13.31,0.48
E01005529,E01005529 : Rochdale 022B,10.19,15.76,3.08,40.43,68.32,47.65,14.63,2.06,12.88,0.54
E01005551,E01005551 : Rochdale 022C,11.07,19.57,8.55,37.47,64.49,40.46,15.23,1.96,13.39,0.47
