LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,no_car_ratio_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01005671,E01005671 : Salford 012A,5.38,24.94,2.91,40.82,52.58,37.12,16.57,2.31,13.19,0.31
E01005674,E01005674 : Salford 012B,3.99,28.15,4.34,24.12,36.33,24.76,16.32,2.26,13.09,0.46
E01005694,E01005694 : Salford 012C,3.67,30.77,10.84,4.34,21.92,12.61,16.91,2.40,13.30,0.36
E01005696,E01005696 : Salford 012D,4.99,38.80,11.19,20.56,24.75,14.27,17.16,2.23,13.56,0.35
E01005698,E01005698 : Salford 012E,8.09,22.51,3.59,14.51,68.17,46.54,16.53,2.29,13.18,0.45
E01005700,E01005700 : Salford 012F,3.90,29.93,10.37,28.35,35.73,22.09,16.50,2.25,13.16,0.41
E01005716,E01005716 : Salford 013A,4.10,42.85,63.69,8.93,13.06,7.14,13.73,2.10,12.47,0.49
E01005717,E01005717 : Salford 013B,3.38,50.82,81.67,3.38,9.64,3.73,14.15,2.09,12.60,0.49
E01005734,E01005734 : Salford 013C,4.28,31.35,15.02,21.73,30.88,17.41,13.32,2.27,12.03,0.43
E01005735,E01005735 : Salford 013D,3.92,34.53,18.29,3.02,9.72,9.20,13.32,2.27,12.03,0.40
E01005736,E01005736 : Salford 013E,4.31,34.21,24.80,24.32,16.32,12.64,13.51,2.48,12.10,0.38
E01005737,E01005737 : Salford 013F,3.65,44.61,62.88,7.12,6.94,5.94,13.43,1.99,11.88,0.56
E01005739,E01005739 : Salford 013G,3.56,46.62,59.46,17.77,12.13,8.17,12.28,2.34,11.14,0.47
E01005695,E01005695 : Salford 014A,2.66,43.73,36.15,7.96,10.70,10.40,18.20,2.19,14.02,0.49
E01005697,E01005697 : Salford 014B,4.80,37.95,7.08,17.38,16.69,12.33,16.78,2.12,13.48,0.40
E01005738,E01005738 : Salford 014C,2.71,44.29,27.13,16.55,15.92,9.37,16.23,1.94,12.93,0.50
E01005740,E01005740 : Salford 014D,2.84,46.31,10.57,18.00,20.80,12.86,19.06,1.78,13.97,0.55
E01005741,E01005741 : Salford 014E,3.38,49.00,39.27,7.59,15.06,12.13,16.86,1.98,13.45,0.50
E01005742,E01005742 : Salford 014F,3.77,39.29,9.49,15.36,18.22,12.03,17.69,1.98,13.71,0.39
E01005625,E01005625 : Salford 015A,4.34,30.04,9.88,0.33,25.08,15.35,17.75,2.99,12.72,0.37
E01005627,E01005627 : Salford 015B,3.09,31.30,4.63,9.26,16.53,15.64,18.44,2.92,13.10,0.35
E01005699,E01005699 : Salford 015C,4.74,27.30,11.35,5.15,13.40,14.08,17.22,2.50,13.32,0.33
E01005701,E01005701 : Salford 015D,3.58,30.96,26.98,7.37,17.60,12.45,17.02,2.49,13.17,0.39
E01005624,E01005624 : Salford 017A,8.38,24.87,4.53,8.52,57.69,36.49,18.56,2.76,13.47,0.39
E01005680,E01005680 : Salford 017B,9.86,21.33,2.90,17.13,79.32,53.86,19.13,2.76,13.73,0.32
E01005683,E01005683 : Salford 017C,12.03,22.80,4.97,49.89,74.18,48.42,19.30,2.70,13.89,0.31
E01033980,E01033980 : Salford 017G,16.67,30.47,4.43,58.04,64.55,46.73,18.25,2.63,13.50,0.19
E01033981,E01033981 : Salford 017H,21.86,24.84,4.19,56.89,77.88,51.02,19.36,2.49,14.21,0.30
E01005622,E01005622 : Salford 018A,7.00,40.17,1.50,72.60,44.38,29.94,18.45,2.74,13.47,0.27
E01005623,E01005623 : Salford 018B,5.30,40.15,3.85,28.80,18.70,15.65,18.97,2.83,13.47,0.31
E01005626,E01005626 : Salford 018C,1.34,29.69,12.57,2.13,11.22,15.50,18.44,2.92,13.10,0.39
E01005628,E01005628 : Salford 018D,8.57,35.63,12.67,27.00,39.03,30.83,19.18,2.88,13.47,0.42
E01005725,E01005725 : Salford 019A,9.56,18.48,2.51,38.35,66.79,38.06,18.11,2.24,13.81,0.45
E01005726,E01005726 : Salford 019B,5.25,28.03,8.93,40.91,40.33,25.97,18.11,2.24,13.52,0.39
E01005727,E01005727 : Salford 019C,6.16,35.87,5.26,40.34,44.75,25.19,18.11,2.24,13.81,0.36
E01005728,E01005728 : Salford 019D,4.39,31.74,10.75,17.30,18.40,16.01,18.11,2.24,13.46,0.36
E01005733,E01005733 : Salford 019E,6.49,24.22,4.65,7.88,51.92,29.47,16.86,2.07,13.21,0.45
E01005631,E01005631 : Salford 020A,9.20,27.14,2.11,2.78,84.85,64.40,18.70,2.99,13.14,0.38
E01005632,E01005632 : Salford 020B,5.40,42.14,7.82,28.21,43.28,29.11,17.68,2.35,13.19,0.30
E01005633,E01005633 : Salford 020C,6.15,26.46,2.80,31.80,44.21,27.60,17.54,2.69,13.17,0.51
E01005634,E01005634 : Salford 020D,3.46,51.56,23.27,14.56,11.71,9.75,17.76,2.29,13.89,0.40
E01005635,E01005635 : Salford 020E,4.36,46.39,17.67,7.22,41.18,25.11,18.70,2.99,13.14,0.43
E01005636,E01005636 : Salford 020F,3.83,48.09,30.17,4.53,32.24,19.12,17.54,2.39,13.35,0.60
E01005637,E01005637 : Salford 020G,3.21,40.49,4.74,48.93,37.99,24.47,18.11,2.24,14.11,0.32
E01005629,E01005629 : Salford 021A,5.19,39.02,10.42,12.50,32.84,29.06,19.12,2.86,13.47,0.41
E01005630,E01005630 : Salford 021B,4.50,37.31,2.16,51.16,31.22,24.77,19.45,3.26,13.10,0.46
E01005719,E01005719 : Salford 021C,9.70,41.33,2.37,12.27,70.92,44.06,20.31,3.38,13.38,0.45
E01005722,E01005722 : Salford 021E,8.54,31.17,5.03,37.48,58.87,37.74,20.48,3.24,13.44,0.48
E01005723,E01005723 : Salford 021F,7.69,26.67,1.99,50.92,68.71,43.49,18.71,2.81,13.53,0.28
E01005724,E01005724 : Salford 021G,4.85,35.86,7.56,2.83,24.69,22.64,19.11,3.53,12.72,0.46
E01033982,E01033982 : Salford 021H,10.21,27.95,2.89,38.42,60.79,36.89,20.26,3.17,13.45,0.32
E01033983,E01033983 : Salford 021I,10.31,41.84,0.63,21.13,87.03,47.52,19.97,3.17,13.74,0.22
E01005654,E01005654 : Salford 023A,8.68,47.71,3.58,76.25,58.57,39.83,18.60,2.88,13.40,0.24
E01005656,E01005656 : Salford 023B,9.40,28.49,3.78,74.27,62.29,43.22,19.21,2.95,13.44,0.22
E01005657,E01005657 : Salford 023C,10.73,30.26,3.47,60.53,59.95,44.73,19.21,2.95,13.44,0.23
E01005721,E01005721 : Salford 023D,9.78,28.36,3.44,14.92,53.57,44.60,19.84,3.10,13.44,0.48
E01005681,E01005681 : Salford 024C,27.06,20.16,1.63,23.77,90.00,65.03,18.96,2.49,14.31,0.35
E01005682,E01005682 : Salford 024D,16.01,26.60,1.11,0.90,95.37,64.12,19.08,2.72,13.87,0.38
E01033984,E01033984 : Salford 024E,10.83,31.39,3.61,46.14,80.52,48.85,18.91,2.80,13.66,0.33
E01005729,E01005729 : Salford 025A,10.11,24.06,2.45,26.16,85.18,59.15,18.11,2.24,13.11,0.46
E01005730,E01005730 : Salford 025B,5.97,28.79,8.05,29.47,31.37,21.20,16.52,2.15,12.99,0.40
E01005731,E01005731 : Salford 025C,9.65,22.32,2.93,30.46,58.35,35.00,14.92,1.99,13.11,0.50
E01005732,E01005732 : Salford 025D,9.12,23.63,5.68,29.12,56.04,35.35,14.48,1.95,13.16,0.48
E01005599,E01005599 : Salford 026A,13.27,25.36,2.63,27.57,68.04,46.85,18.92,2.68,13.42,0.26
E01005600,E01005600 : Salford 026B,4.69,37.69,9.82,41.42,45.71,27.31,17.45,2.31,13.54,0.30
E01005601,E01005601 : Salford 026C,10.78,20.24,2.65,53.68,62.39,38.64,16.88,2.24,13.26,0.34
E01005602,E01005602 : Salford 026D,9.02,22.63,2.58,16.85,77.03,50.06,17.45,2.31,13.54,0.40
E01005603,E01005603 : Salford 027A,5.08,28.79,3.34,65.91,57.39,31.38,16.21,2.12,13.13,0.26
E01005604,E01005604 : Salford 027B,6.18,26.20,3.58,34.39,35.21,27.43,14.30,1.99,13.15,0.41
E01005605,E01005605 : Salford 027C,5.92,25.88,2.31,63.09,45.59,27.54,13.91,1.98,13.15,0.27
E01005638,E01005638 : Salford 027D,4.97,29.73,4.52,40.49,68.28,37.90,17.83,2.32,13.17,0.30
E01005639,E01005639 : Salford 029A,12.69,15.39,2.99,69.24,76.23,40.60,13.60,1.92,13.37,0.47
E01005640,E01005640 : Salford 029B,8.57,16.47,3.40,19.85,50.94,25.52,13.39,1.98,13.69,0.52
E01005641,E01005641 : Salford 029C,7.13,17.88,4.02,9.97,46.60,26.98,13.24,2.20,13.54,0.40
E01005642,E01005642 : Salford 029D,2.81,22.84,28.26,25.30,17.75,11.86,13.30,2.22,12.97,0.38
E01005643,E01005643 : Salford 029E,6.01,23.33,11.26,10.36,22.86,21.95,12.49,1.93,12.55,0.40
E01005644,E01005644 : Salford 029F,3.64,26.39,9.69,44.01,17.93,11.31,13.21,2.36,12.43,0.35
E01005645,E01005645 : Salford 029G,3.50,23.48,16.72,3.89,12.01,14.89,13.41,2.19,13.40,0.40
E01005616,E01005616 : Salford 030A,7.97,18.56,5.40,17.18,46.15,28.64,10.35,2.08,12.54,0.49
E01005617,E01005617 : Salford 030B,5.31,21.99,15.37,27.11,26.16,14.31,11.36,2.15,12.50,0.47
E01005618,E01005618 : Salford 030C,4.67,27.20,16.19,27.13,42.84,22.84,11.45,2.34,12.15,0.38
E01005619,E01005619 : Salford 030D,6.77,19.70,11.48,28.40,34.31,20.78,10.62,2.17,12.06,0.43
E01005620,E01005620 : Salford 030E,4.06,31.11,18.67,25.24,33.21,16.60,13.18,2.40,12.93,0.36
E01005621,E01005621 : Salford 030F,4.94,25.33,15.67,30.45,53.06,29.68,11.55,2.06,12.34,0.42
E01005613,E01005613 : Salford 031A,19.19,20.31,7.48,28.02,84.12,55.50,19.07,2.27,13.63,0.37
E01005612,E01005612 : Salford 031B,11.15,22.32,3.03,28.31,87.78,56.83,18.49,2.34,13.53,0.36
E01005614,E01005614 : Salford 031C,5.13,15.53,11.83,50.57,62.78,48.22,18.49,2.34,13.53,0.30
E01033985,E01033985 : Salford 032A,10.57,32.72,5.91,34.27,85.27,42.46,19.78,2.45,14.32,0.35
E01033986,E01033986 : Salford 032B,6.65,48.25,6.64,14.78,69.70,32.12,19.36,2.49,14.12,0.34
E01005611,E01005611 : Salford 032C,11.34,28.23,4.48,35.78,76.93,45.71,19.66,2.46,13.93,0.38
E01005615,E01005615 : Salford 032D,19.09,17.61,4.80,46.22,72.81,51.02,17.90,2.40,13.44,0.35
E01033987,E01033987 : Salford 033A,7.01,67.26,0.17,17.04,80.93,49.83,20.14,2.44,14.97,0.24
E01033988,E01033988 : Salford 033B,8.66,68.46,0.12,0.12,87.66,69.75,20.14,2.44,14.97,0.14
E01033989,E01033989 : Salford 033C,5.46,61.62,0.44,9.29,75.66,60.95,19.55,2.46,14.64,0.21
E01033990,E01033990 : Salford 033D,8.99,68.51,0.15,0.30,90.21,68.93,20.14,2.44,14.45,0.12
E01033330,E01033330 : Salford 033E,16.52,30.52,2.05,11.82,83.43,57.38,19.85,2.45,14.35,0.39
E01032909,E01032909 : Salford 033F,4.88,74.06,0.19,0.58,82.90,52.06,20.14,2.44,14.97,0.13
E01033991,E01033991 : Salford 034A,9.94,50.37,4.66,12.85,77.72,44.68,18.74,2.49,14.24,0.18
E01033992,E01033992 : Salford 034B,5.62,73.73,0.13,1.59,75.50,48.01,18.52,2.46,13.72,0.14
E01005610,E01005610 : Salford 034C,29.03,15.85,10.42,55.42,78.13,46.96,18.96,2.49,14.31,0.39
E01032684,E01032684 : Salford 034D,10.42,41.58,1.43,18.07,71.68,44.53,19.35,2.47,14.36,0.47
E01032906,E01032906 : Salford 034E,7.56,57.82,0.79,10.19,79.02,56.80,19.06,2.45,13.96,0.17
E01032914,E01032914 : Salford 035A,7.45,61.42,0.78,4.79,80.23,43.02,18.34,2.59,13.56,0.28
E01032912,E01032912 : Salford 035B,11.03,35.36,4.62,34.60,81.11,46.97,18.47,2.61,13.48,0.27
E01005667,E01005667 : Salford 035C,9.49,35.19,3.01,45.10,79.84,44.81,18.66,2.54,13.61,0.36
E01033993,E01033993 : Salford 036A,6.74,61.44,0.79,9.55,82.51,49.49,18.52,2.46,13.72,0.26
E01033994,E01033994 : Salford 036B,6.21,70.51,0.31,0.16,87.62,41.76,18.72,2.43,13.35,0.24
E01032915,E01032915 : Salford 036C,7.65,43.25,3.07,29.84,83.62,48.15,18.84,2.54,13.35,0.35
E01033995,E01033995 : Salford 037A,7.56,70.04,0.42,0.56,86.82,54.27,17.49,2.36,13.41,0.18
E01033996,E01033996 : Salford 037B,5.71,66.23,0.00,2.55,79.60,45.75,17.49,2.36,13.41,0.08
E01033997,E01033997 : Salford 037C,9.00,70.76,0.16,6.26,82.75,47.44,18.23,2.51,13.33,0.17
E01033998,E01033998 : Salford 037D,5.92,70.74,0.53,4.01,84.09,45.53,18.23,2.51,13.33,0.15
E01033999,E01033999 : Salford 037E,8.46,79.70,0.30,2.40,82.16,40.66,18.97,2.66,13.26,0.18
E01005098,E01005098 : Manchester 001A,7.94,19.71,2.59,24.51,71.06,36.38,16.00,2.01,13.44,0.55
E01005099,E01005099 : Manchester 001B,12.33,21.13,4.20,35.02,75.11,39.48,15.40,2.14,14.06,0.50
E01005100,E01005100 : Manchester 001C,7.41,24.57,29.22,22.37,42.77,30.55,16.02,2.09,13.43,0.53
E01005102,E01005102 : Manchester 001D,6.95,23.63,2.87,53.11,32.27,30.61,17.00,2.09,13.16,0.41
E01005103,E01005103 : Manchester 001E,8.59,18.96,3.48,28.34,63.14,43.16,16.38,2.09,13.46,0.55
E01005101,E01005101 : Manchester 002A,7.99,21.63,5.64,26.00,57.20,37.14,15.64,2.07,13.92,0.50
E01005135,E01005135 : Manchester 002B,8.29,27.99,4.86,16.26,60.49,37.29,15.52,2.07,13.75,0.48
E01005136,E01005136 : Manchester 002C,6.99,24.90,9.74,6.33,40.65,30.62,15.87,2.10,13.59,0.50
E01005138,E01005138 : Manchester 002D,11.17,34.18,8.94,31.53,66.23,41.62,15.76,2.12,13.16,0.57
E01034107,E01034107 : Manchester 002F,8.68,31.88,6.06,39.90,44.13,35.80,16.54,2.15,13.37,0.35
E01034108,E01034108 : Manchester 002G,7.69,34.86,24.14,19.19,42.59,27.79,16.11,2.13,13.25,0.48
E01005139,E01005139 : Manchester 003B,6.50,28.79,6.27,21.28,42.63,25.59,15.18,2.06,13.01,0.47
E01005141,E01005141 : Manchester 003C,10.22,23.15,2.64,18.62,74.59,46.22,15.76,2.12,13.16,0.54
E01005251,E01005251 : Manchester 003D,7.69,22.06,3.13,20.31,57.48,32.61,15.72,2.15,13.01,0.42
E01005252,E01005252 : Manchester 003E,8.41,22.37,3.40,22.35,53.78,32.29,15.92,2.13,13.12,0.44
E01033685,E01033685 : Manchester 003F,6.82,34.43,28.35,10.87,46.68,22.38,15.73,2.12,13.03,0.36
E01033687,E01033687 : Manchester 003G,10.93,25.71,4.57,7.05,76.54,50.26,15.76,2.12,13.06,0.48
E01005104,E01005104 : Manchester 004A,9.01,31.64,3.55,29.41,72.16,37.78,16.93,2.10,13.30,0.59
E01005160,E01005160 : Manchester 004B,7.95,33.66,8.69,1.28,40.71,26.46,16.49,2.05,13.60,0.48
E01005161,E01005161 : Manchester 004C,8.06,29.15,4.24,52.73,35.51,25.61,16.63,2.12,13.48,0.48
E01005162,E01005162 : Manchester 004D,8.08,29.32,7.04,3.98,47.71,29.01,16.63,2.09,13.48,0.51
E01005163,E01005163 : Manchester 004E,7.28,29.88,5.52,8.59,39.14,29.60,16.97,2.14,13.59,0.44
E01005247,E01005247 : Manchester 005A,4.88,25.68,3.85,38.84,23.43,20.55,15.55,2.16,12.98,0.37
E01005248,E01005248 : Manchester 005B,5.37,27.26,15.90,8.72,17.29,16.75,15.80,2.14,13.09,0.46
E01005249,E01005249 : Manchester 005C,6.13,30.01,17.37,28.21,43.03,26.88,16.26,2.15,13.16,0.40
E01005250,E01005250 : Manchester 005D,10.84,22.29,7.62,28.38,54.40,30.97,15.44,2.06,13.01,0.43
E01005253,E01005253 : Manchester 005E,9.75,20.85,1.59,19.59,54.52,31.84,15.60,2.15,13.01,0.45
E01005254,E01005254 : Manchester 005F,5.29,26.50,6.39,42.05,25.89,20.99,15.75,2.24,13.01,0.36
E01005164,E01005164 : Manchester 006A,11.97,28.00,8.30,39.34,62.24,37.50,17.27,2.14,13.56,0.35
E01005205,E01005205 : Manchester 006B,12.50,24.01,4.35,45.08,78.35,54.92,16.96,2.15,13.33,0.39
E01005206,E01005206 : Manchester 006C,8.65,24.64,4.42,44.20,48.20,35.60,17.20,2.13,13.46,0.46
E01005207,E01005207 : Manchester 006D,12.69,25.58,6.27,55.50,60.08,45.38,16.74,2.15,13.21,0.29
E01005223,E01005223 : Manchester 007A,7.13,29.07,12.05,29.21,42.01,34.60,16.71,2.16,13.21,0.35
E01005224,E01005224 : Manchester 007B,13.71,31.41,10.30,45.97,64.87,41.69,16.83,2.15,13.20,0.30
E01005225,E01005225 : Manchester 007C,10.12,21.84,4.79,45.33,61.73,44.63,17.08,2.13,13.13,0.34
E01005226,E01005226 : Manchester 007D,10.63,25.15,7.56,58.35,60.20,44.02,16.83,2.15,13.20,0.21
E01005229,E01005229 : Manchester 007E,5.53,26.04,11.40,12.07,15.02,20.03,16.59,2.17,13.24,0.43
E01005145,E01005145 : Manchester 008A,13.38,28.65,7.49,41.86,58.99,31.96,19.07,2.27,13.63,0.29
E01005149,E01005149 : Manchester 008C,8.71,26.69,6.13,42.29,43.68,23.67,17.89,2.15,13.70,0.28
E01005165,E01005165 : Manchester 008D,13.65,28.59,4.30,15.84,76.98,49.32,17.43,2.15,13.65,0.42
E01005166,E01005166 : Manchester 008E,13.15,24.38,3.97,21.67,63.07,43.47,17.52,2.15,13.66,0.34
E01005167,E01005167 : Manchester 008F,11.38,29.55,6.03,32.54,59.68,26.42,17.27,2.14,13.56,0.36
E01034109,E01034109 : Manchester 008G,7.60,29.07,12.97,21.70,45.75,23.71,18.59,2.22,13.64,0.44
E01034110,E01034110 : Manchester 008H,9.06,30.59,8.44,41.36,56.82,29.90,18.99,2.30,13.63,0.39
E01005202,E01005202 : Manchester 009A,13.03,19.81,4.80,50.53,80.86,52.22,17.66,2.21,13.43,0.40
E01005203,E01005203 : Manchester 009B,15.50,26.80,6.19,35.63,85.20,54.20,18.41,2.27,13.49,0.50
E01005227,E01005227 : Manchester 009D,13.50,26.78,7.95,51.75,66.80,45.21,17.08,2.13,13.13,0.32
E01005228,E01005228 : Manchester 009E,10.14,27.52,7.39,43.67,75.48,47.59,17.86,2.22,13.34,0.50
E01033678,E01033678 : Manchester 009F,12.75,27.69,7.32,33.69,77.73,48.02,19.49,2.41,13.57,0.41
E01033679,E01033679 : Manchester 009G,12.57,24.28,6.02,30.64,85.71,57.69,20.96,2.51,14.29,0.50
E01005256,E01005256 : Manchester 011A,9.22,27.83,6.56,42.40,66.44,40.71,17.04,2.21,13.19,0.37
E01005257,E01005257 : Manchester 011B,9.41,24.79,4.60,36.15,74.81,47.77,18.12,2.28,13.34,0.25
E01005258,E01005258 : Manchester 011C,9.43,22.56,3.86,54.44,57.51,46.14,15.77,2.18,12.70,0.36
E01005259,E01005259 : Manchester 011D,11.25,18.65,3.96,57.52,74.50,52.51,16.69,2.23,12.92,0.35
E01005260,E01005260 : Manchester 011E,5.69,24.77,6.40,31.82,25.08,24.20,15.77,2.18,12.70,0.37
E01005093,E01005093 : Manchester 012A,13.20,23.45,7.04,26.25,67.55,45.31,16.82,2.22,13.11,0.35
E01005094,E01005094 : Manchester 012B,10.03,22.36,4.36,52.78,75.30,49.77,16.93,2.33,13.26,0.28
E01005097,E01005097 : Manchester 012C,12.58,24.58,6.31,19.23,76.39,38.46,17.08,2.23,13.13,0.47
E01005255,E01005255 : Manchester 012D,12.44,23.89,2.83,24.84,80.52,51.93,16.71,2.19,13.06,0.48
E01005261,E01005261 : Manchester 012E,8.91,24.59,3.86,24.22,70.92,41.96,16.93,2.22,13.07,0.45
E01005092,E01005092 : Manchester 015A,9.67,27.80,5.39,64.57,73.18,47.51,17.44,2.27,13.20,0.32
E01005105,E01005105 : Manchester 015C,9.22,44.11,8.49,36.43,62.12,32.42,18.53,2.28,13.43,0.32
E01005106,E01005106 : Manchester 015D,11.65,24.35,7.02,51.62,77.11,49.00,17.96,2.30,13.45,0.32
E01005107,E01005107 : Manchester 015E,12.44,24.34,4.30,38.31,75.00,43.41,17.66,2.30,13.41,0.37
E01033668,E01033668 : Manchester 015F,7.70,49.49,1.85,16.64,79.76,38.66,18.55,2.28,13.33,0.35
E01033669,E01033669 : Manchester 015G,9.71,23.94,4.04,45.81,77.43,47.45,18.55,2.28,13.33,0.36
E01005189,E01005189 : Manchester 017D,13.94,19.55,4.76,41.43,79.38,58.13,17.13,2.40,13.75,0.36
E01005190,E01005190 : Manchester 017E,9.24,22.99,4.90,50.43,62.41,45.43,17.12,2.41,13.52,0.26
E01034111,E01034111 : Manchester 017G,10.27,22.25,6.49,45.77,83.06,41.91,16.62,2.37,13.40,0.32
E01034112,E01034112 : Manchester 017H,10.01,28.14,10.50,43.11,59.32,42.43,17.12,2.41,13.55,0.26
E01034113,E01034113 : Manchester 017I,9.51,32.11,5.50,55.50,65.13,43.01,17.12,2.41,13.63,0.29
E01034114,E01034114 : Manchester 017J,7.99,35.34,2.74,46.85,36.03,29.63,16.38,2.38,13.37,0.28
E01005061,E01005061 : Manchester 018A,14.51,28.11,9.62,32.21,86.39,42.38,19.59,2.62,13.78,0.29
E01005063,E01005063 : Manchester 018C,11.22,37.07,5.11,54.65,75.46,44.04,19.59,2.62,13.88,0.30
E01005065,E01005065 : Manchester 018D,13.00,37.88,5.86,43.89,75.97,49.13,19.12,2.70,13.82,0.24
E01005066,E01005066 : Manchester 018E,19.32,43.63,4.53,18.70,83.69,57.96,17.86,2.54,14.00,0.29
E01034115,E01034115 : Manchester 018F,20.92,44.00,6.60,49.29,72.51,50.35,18.70,2.65,13.95,0.23
E01034116,E01034116 : Manchester 018G,10.23,50.90,4.09,48.56,69.40,51.45,20.37,2.86,13.85,0.28
E01005208,E01005208 : Manchester 019A,13.15,45.26,2.91,23.98,81.74,50.77,17.00,2.41,13.62,0.30
E01005210,E01005210 : Manchester 019C,36.91,23.67,5.37,21.48,90.36,61.74,17.86,2.54,13.62,0.27
E01005214,E01005214 : Manchester 019D,9.91,54.62,5.28,25.41,71.33,44.98,18.29,2.49,13.23,0.34
E01034117,E01034117 : Manchester 019E,27.95,36.07,0.63,7.82,91.77,65.39,17.00,2.49,13.70,0.30
E01034118,E01034118 : Manchester 019F,16.70,35.98,3.94,29.98,90.35,58.33,17.00,2.41,13.62,0.40
E01005067,E01005067 : Manchester 020A,9.03,34.46,10.52,34.53,67.16,42.61,18.63,2.33,13.82,0.28
E01005186,E01005186 : Manchester 020B,10.41,30.94,6.76,33.33,62.38,33.46,17.78,2.34,13.72,0.39
E01005232,E01005232 : Manchester 020C,10.98,28.43,10.04,24.19,61.76,38.39,17.75,2.29,13.71,0.32
E01005235,E01005235 : Manchester 020D,13.48,23.46,4.31,33.06,70.77,45.47,17.68,2.35,13.69,0.32
E01005239,E01005239 : Manchester 020E,14.65,24.68,5.25,50.64,77.28,47.39,18.31,2.46,13.80,0.35
E01005187,E01005187 : Manchester 021A,11.31,24.26,5.52,62.18,69.50,48.93,17.12,2.41,13.37,0.20
E01005188,E01005188 : Manchester 021B,6.66,22.35,6.58,27.16,40.88,32.05,16.38,2.38,13.34,0.36
E01005191,E01005191 : Manchester 021C,12.94,23.05,3.52,67.21,68.98,49.69,17.13,2.41,13.60,0.22
E01005192,E01005192 : Manchester 021D,8.19,27.31,7.79,34.85,42.94,33.09,16.45,2.37,13.44,0.36
E01005193,E01005193 : Manchester 021E,11.42,25.79,5.73,64.88,54.09,42.20,15.49,2.32,13.32,0.22
E01005230,E01005230 : Manchester 022B,15.64,35.20,3.15,20.34,78.61,53.28,16.37,2.41,13.74,0.34
E01005231,E01005231 : Manchester 022C,24.78,37.01,1.87,27.59,88.70,61.60,16.37,2.41,13.74,0.42
E01005236,E01005236 : Manchester 022D,16.46,31.81,2.72,50.14,77.51,47.06,16.37,2.41,13.74,0.25
E01005237,E01005237 : Manchester 022E,11.57,25.87,5.49,32.95,48.28,32.19,15.81,2.19,13.37,0.20
E01034119,E01034119 : Manchester 022H,22.17,29.42,4.20,33.90,88.24,54.65,17.65,2.48,13.75,0.31
E01005195,E01005195 : Manchester 023A,11.32,28.10,6.39,20.55,70.89,39.20,16.71,2.28,13.43,0.42
E01005197,E01005197 : Manchester 023C,15.67,22.31,2.96,49.08,69.07,49.79,16.59,2.38,13.60,0.35
E01005198,E01005198 : Manchester 023D,10.81,23.38,7.05,9.03,74.05,36.81,17.69,2.35,13.56,0.47
E01005201,E01005201 : Manchester 023E,16.17,26.81,7.12,58.02,81.38,52.22,17.68,2.35,13.69,0.22
E01034120,E01034120 : Manchester 023F,12.37,26.58,4.71,12.12,75.46,38.32,16.32,2.36,13.54,0.43
E01034121,E01034121 : Manchester 023G,9.73,40.93,9.82,18.97,60.44,23.56,15.57,2.26,13.20,0.41
E01005243,E01005243 : Manchester 024B,13.06,36.17,4.37,33.22,84.50,47.68,15.96,2.22,13.23,0.38
E01005245,E01005245 : Manchester 024C,15.92,29.35,9.38,46.04,87.24,50.83,16.13,2.27,13.62,0.41
E01005246,E01005246 : Manchester 024D,16.13,22.22,8.32,63.41,82.14,49.67,16.13,2.27,13.62,0.22
E01034122,E01034122 : Manchester 024E,12.70,34.03,10.83,60.51,77.83,46.50,16.13,2.27,13.47,0.18
E01034123,E01034123 : Manchester 024F,12.05,32.10,7.72,56.69,71.47,48.97,15.76,2.23,13.40,0.20
E01005244,E01005244 : Manchester 025C,24.62,30.75,6.26,59.26,82.16,58.55,16.57,2.47,13.74,0.24
E01005285,E01005285 : Manchester 025D,14.31,27.82,8.38,46.39,82.71,53.73,16.16,2.35,13.39,0.35
E01005288,E01005288 : Manchester 025E,18.15,32.72,5.60,56.19,79.59,55.77,16.16,2.35,13.39,0.26
E01034124,E01034124 : Manchester 025F,17.92,32.99,7.31,66.13,84.23,53.94,16.13,2.27,13.62,0.21
E01034125,E01034125 : Manchester 025G,14.31,33.59,7.80,71.14,86.31,49.18,16.13,2.27,13.40,0.17
E01034126,E01034126 : Manchester 025H,11.47,48.46,7.43,68.32,49.83,38.45,16.13,2.27,13.40,0.20
E01034127,E01034127 : Manchester 025I,11.20,46.68,3.73,78.47,54.59,44.71,16.13,2.27,13.17,0.27
E01005280,E01005280 : Manchester 026A,13.83,27.02,5.57,11.69,51.67,30.48,15.89,2.22,13.11,0.44
E01005281,E01005281 : Manchester 026B,27.28,19.69,3.59,4.16,76.37,54.25,15.66,2.19,13.21,0.52
E01005284,E01005284 : Manchester 026C,22.43,32.18,5.21,10.57,84.25,62.39,16.57,2.47,13.74,0.46
E01005286,E01005286 : Manchester 026D,13.42,41.21,3.01,29.23,73.37,46.79,16.00,2.31,13.37,0.41
E01005287,E01005287 : Manchester 026E,12.71,27.30,2.76,9.80,66.82,38.63,15.81,2.19,13.37,0.40
E01005297,E01005297 : Manchester 028A,9.34,50.05,5.49,17.00,51.43,31.75,15.31,2.13,12.96,0.48
E01005298,E01005298 : Manchester 028B,7.61,50.14,4.17,48.48,43.27,24.04,15.64,2.15,12.85,0.35
