LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,high_ses_percent,overcrowded_percent,no_car_ratio_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01005665,E01005665 : Salford 001E,15.88,19.14,2.09,33.37,80.64,12.25 ,12.81 ,42.87,14.29,2.27,12.49,0.45
E01005703,E01005703 : Salford 002A,12.35,17.49,3.05,35.46,68.44,13.39 ,9.56 ,41.99,14.6,1.99,12.83,0.5
E01005704,E01005704 : Salford 002B,7.18,20.04,4.77,41.74,34.8,20.59 ,6.11 ,28.69,13.34,2.02,12.22,0.39
E01005706,E01005706 : Salford 002C,7.63,18.64,2.58,43.55,52.21,17.88 ,6.86 ,33.38,14.6,1.99,12.83,0.45
E01005708,E01005708 : Salford 002D,6.97,24.28,4.42,35.36,55.52,22.44 ,5.25 ,37.21,13.57,1.85,12.35,0.28
E01005702,E01005702 : Salford 003A,6.6,29.88,13.64,29.28,43.83,29.59 ,5.07 ,19.32,15.75,2.04,13.55,0.38
E01005707,E01005707 : Salford 003C,8.33,22.31,4.05,41.91,62.45,18.88 ,7.82 ,36.16,15.96,1.97,13.67,0.46
E01033976,E01033976 : Salford 003D,5.7,44.73,29.46,24.63,27.35,47.48 ,1.73 ,7.93,16.77,1.89,13.85,0.35
E01033977,E01033977 : Salford 003E,7.93,24.81,3.89,33.52,52.79,25.82 ,3.70 ,32.04,15.16,1.9,13.04,0.39
E01005661,E01005661 : Salford 004A,7.93,24.25,14.29,29.23,51.32,23.10 ,5.28 ,26.55,12.39,1.83,11.85,0.49
E01005662,E01005662 : Salford 004B,11.28,17.12,4.7,41.22,75.79,12.25 ,9.92 ,40.19,12.27,1.9,11.91,0.51
E01005709,E01005709 : Salford 004C,7.17,20.39,3.82,31.48,66.83,14.66 ,8.43 ,39.84,12.81,1.87,12.05,0.44
E01005710,E01005710 : Salford 004D,3.7,38.77,34.29,11.31,20.1,41.43 ,3.08 ,13.2,13.85,1.89,12.45,0.47
E01005670,E01005670 : Salford 005A,6.61,27.21,3.54,22.2,60.64,21.88 ,12.52 ,36.83,16.97,2.42,13.36,0.4
E01005672,E01005672 : Salford 005B,4.76,30.77,9.82,62.52,40.75,30.42 ,5.25 ,29.9,16.57,2.31,13.19,0.24
E01005676,E01005676 : Salford 005C,3.27,25.74,19.93,1.09,12.84,34.07 ,2.36 ,13.92,18.55,1.92,13.99,0.41
E01005677,E01005677 : Salford 005D,5.11,26.31,9.68,13.49,29.66,27.32 ,6.31 ,20.82,17.48,2.17,13.69,0.41
E01005686,E01005686 : Salford 006A,5.16,25.5,2.84,48.11,39.27,24.58 ,8.83 ,31.86,17.38,2.1,13.61,0.3
E01005688,E01005688 : Salford 006B,5.84,25.84,4.59,20.83,29.75,24.52 ,4.92 ,20.28,17.1,2.26,14.07,0.39
E01005691,E01005691 : Salford 006C,5.47,23.38,5.69,8.68,22.14,30.37 ,2.97 ,18.93,17.68,2,14.13,0.43
E01005692,E01005692 : Salford 006D,7.84,22.28,0.69,28.02,68.22,19.82 ,5.62 ,47.06,16.94,2.3,13.73,0.37
E01005711,E01005711 : Salford 007A,6.15,27.7,18.31,30.73,20.7,32.68 ,3.98 ,14.97,16.56,1.84,13.57,0.44
E01005712,E01005712 : Salford 007B,6.02,29.58,2.38,34.4,52.08,31.72 ,3.80 ,24.7,15.18,1.88,13.05,0.35
E01005713,E01005713 : Salford 007C,3.3,37.21,15.93,11.95,12,44.42 ,1.42 ,9.96,13.99,2.06,12.54,0.39
E01005714,E01005714 : Salford 007D,6.31,34.08,7.73,10.01,39.77,31.54 ,5.44 ,19.31,17.54,1.79,13.82,0.47
E01005715,E01005715 : Salford 007E,3.85,43.12,16.03,18.81,19.02,47.38 ,1.86 ,14.8,15.82,1.87,13.1,0.47
E01005718,E01005718 : Salford 007F,4.21,31.12,17.86,32.08,38.11,32.50 ,2.90 ,24.59,13.97,1.87,12.48,0.44
E01005673,E01005673 : Salford 008A,4.28,29.41,9.08,31.01,38.39,27.15 ,2.73 ,21.09,17.17,2.59,13.19,0.43
E01005678,E01005678 : Salford 008C,7.88,22.34,2.63,26.74,56.55,17.51 ,14.22 ,33.54,16.1,2.38,13.01,0.45
E01005679,E01005679 : Salford 008D,8.21,21.59,4.85,13.64,65.86,17.62 ,15.26 ,38.37,16.61,2.39,13.05,0.46
E01033978,E01033978 : Salford 008E,6.2,39.79,32.51,19.46,32.27,37.77 ,2.72 ,11.82,17.11,2.67,13.11,0.43
E01033979,E01033979 : Salford 008F,15.91,24.55,30.98,26.71,29.7,22.13 ,3.42 ,17.74,17.49,2.63,13.16,0.36
E01005687,E01005687 : Salford 009A,4.25,27.97,11.43,43.24,38.05,29.06 ,4.92 ,25.37,17.44,1.98,13.72,0.34
E01005689,E01005689 : Salford 009B,11.39,25.42,3.04,16.89,65.34,16.70 ,9.68 ,37.76,16.96,2.08,13.44,0.46
E01005690,E01005690 : Salford 009C,5.28,28.95,6.8,30.82,29.19,32.54 ,2.32 ,23.3,16.28,2.11,13.23,0.34
E01005693,E01005693 : Salford 009D,3.96,27.44,3.16,59.97,23.02,29.21 ,4.58 ,19.37,17.38,2.1,13.66,0.32
E01005646,E01005646 : Salford 010A,3.07,24.57,22.14,5.99,49.55,33.82 ,18.69 ,31.22,17.24,2.2,13.48,0.51
E01005649,E01005649 : Salford 010B,3.55,34.78,15.33,8.82,46.83,38.61 ,6.99 ,25.74,16.79,2.2,13.26,0.58
E01005650,E01005650 : Salford 010C,9.13,22.57,11.06,19.91,68.35,28.58 ,16.61 ,47.71,17.89,2.32,13.53,0.51
E01005651,E01005651 : Salford 010D,6.41,19.75,18.95,13,54.51,30.30 ,21.66 ,34.72,17.29,2.23,13.43,0.42
E01005647,E01005647 : Salford 011A,5.82,34.82,9,3.38,48.72,37.05 ,7.53 ,29.86,15.64,2.2,12.77,0.59
E01005648,E01005648 : Salford 011B,5.86,42.37,21.74,11.85,42.09,36.56 ,4.78 ,23.05,16.83,2.47,13.09,0.54
E01005652,E01005652 : Salford 011C,7.04,25.98,9.68,25.35,45.87,22.79 ,5.28 ,27.11,18.11,3.25,13.04,0.47
E01005653,E01005653 : Salford 011D,10.09,26.41,5.4,45.03,70.99,15.08 ,10.79 ,45.7,18.49,2.94,13.41,0.47
E01005671,E01005671 : Salford 012A,5.38,24.94,2.91,40.82,52.58,25.35 ,5.82 ,37.12,16.57,2.31,13.19,0.31
E01005674,E01005674 : Salford 012B,3.99,28.15,4.34,24.12,36.33,29.37 ,4.66 ,24.76,16.32,2.26,13.09,0.46
E01005694,E01005694 : Salford 012C,3.67,30.77,10.84,4.34,21.92,36.63 ,3.04 ,12.61,16.91,2.4,13.3,0.36
E01005696,E01005696 : Salford 012D,4.99,38.8,11.19,20.56,24.75,43.15 ,3.63 ,14.27,17.16,2.23,13.56,0.35
E01005698,E01005698 : Salford 012E,8.09,22.51,3.59,14.51,68.17,19.38 ,8.10 ,46.54,16.53,2.29,13.18,0.45
