2021 super output area - lower layer,Total: All usual residents,Very good health,Good health,Fair health,Bad health,Very bad health
E01005017 : Bury 001D,"1,835","1,008",561,179,70,17
E01005018 : Bury 001E,"1,532",792,490,184,50,16
E01005021 : Bury 001F,"1,219",681,395,114,24,5
E01005019 : Bury 002A,"1,504",798,475,160,54,17
E01005023 : Bury 002B,"1,278",539,444,218,64,13
E01005046 : Bury 002C,"1,480",750,478,195,43,14
E01005048 : Bury 002D,"1,657",924,535,161,30,7
E01005020 : Bury 003A,"1,362",775,449,103,29,6
E01005022 : Bury 003B,"1,495",900,432,125,28,10
E01005047 : Bury 003C,"1,475",753,424,243,47,8
E01005049 : Bury 003D,"1,645",828,542,205,56,14
E01005051 : Bury 003E,"1,524",747,473,211,77,16
E01004976 : Bury 004A,"1,546",689,488,245,90,34
E01004977 : Bury 004B,"1,708",696,585,305,103,19
E01004978 : Bury 004C,"1,858",869,628,260,78,23
E01004981 : Bury 004D,"1,470",673,513,192,71,21
E01004982 : Bury 004E,"1,488",659,567,186,66,10
E01004961 : Bury 005A,"1,451",669,483,218,69,12
E01004965 : Bury 005B,"1,238",640,385,158,43,12
E01004966 : Bury 005C,"1,819",817,648,244,79,31
E01004967 : Bury 005D,"1,191",612,385,149,37,8
E01004963 : Bury 006A,"1,479",634,545,214,65,21
E01004968 : Bury 006B,"1,485",739,513,179,37,17
E01005050 : Bury 006C,"2,125","1,169",676,216,49,15
E01005052 : Bury 006D,"1,446",706,501,170,54,15
E01005053 : Bury 006E,"1,527",742,512,197,60,16
E01004954 : Bury 007A,"1,450",613,543,217,58,19
E01004955 : Bury 007B,"1,357",593,476,204,65,19
E01004956 : Bury 007C,"1,774",793,566,257,120,38
E01004957 : Bury 007D,"1,899",808,637,300,131,23
E01004960 : Bury 007E,"1,670",708,555,256,118,33
E01004958 : Bury 008A,"1,508",569,577,259,79,24
E01004959 : Bury 008B,"1,734",707,656,240,95,36
E01004979 : Bury 008C,"1,811",752,626,277,113,43
E01004980 : Bury 008D,"1,455",622,501,245,73,14
E01005024 : Bury 008E,"2,649","1,261",893,338,123,34
E01005026 : Bury 008F,"2,193","1,087",765,232,82,27
E01004947 : Bury 009A,"1,548",685,548,205,77,33
E01004948 : Bury 009B,"1,870",766,653,303,118,30
E01004962 : Bury 009C,"2,013","1,039",705,206,51,12
E01004964 : Bury 009D,"1,853",861,618,273,75,26
E01004949 : Bury 010A,"1,413",778,419,174,36,6
E01004950 : Bury 010B,"1,488",796,466,167,47,12
E01004951 : Bury 010C,"1,563",692,570,227,63,11
E01004952 : Bury 010D,"1,336",596,473,216,39,12
E01004953 : Bury 010E,"1,533",818,433,206,53,23
E01005025 : Bury 011A,"1,699",771,602,236,76,14
E01005027 : Bury 011B,"1,863",813,645,309,72,24
E01005028 : Bury 011C,"2,235","1,010",735,302,132,56
E01005029 : Bury 011D,"1,983",929,652,278,90,34
E01005000 : Bury 012A,"1,471",701,509,192,55,14
E01005001 : Bury 012B,"1,279",651,471,104,43,10
E01005005 : Bury 012C,"1,409",691,528,145,33,12
E01005006 : Bury 012D,"2,023","1,089",573,246,84,31
E01005030 : Bury 013A,"1,786",784,573,281,106,42
E01005054 : Bury 013B,"1,571",765,515,199,67,25
E01005059 : Bury 013C,"1,786",876,582,209,90,29
E01005060 : Bury 013D,"1,734",808,610,234,64,18
E01004997 : Bury 014A,"1,550",691,496,218,123,22
E01004998 : Bury 014B,"1,655",727,589,254,69,16
E01004999 : Bury 014C,"1,477",724,458,204,74,17
E01005002 : Bury 014D,"1,507",627,577,209,81,13
E01005003 : Bury 014E,"1,485",658,476,230,99,22
E01004991 : Bury 015A,"1,382",634,491,196,51,10
E01004992 : Bury 015B,"1,429",646,499,205,63,16
E01004993 : Bury 015C,"1,989","1,000",637,239,90,23
E01004994 : Bury 015D,"1,383",605,496,201,61,20
E01004990 : Bury 016A,"1,586",696,557,220,88,25
E01004996 : Bury 016B,"1,511",586,508,268,111,38
E01005004 : Bury 016C,"1,583",550,497,319,162,55
E01005008 : Bury 016D,"2,171",942,707,352,137,33
E01005009 : Bury 016E,"1,766",794,590,254,98,30
E01004945 : Bury 017A,"1,537",725,522,217,53,20
E01005055 : Bury 017B,"1,446",698,511,188,39,10
E01005056 : Bury 017C,"1,272",586,416,199,50,21
E01005057 : Bury 017D,"1,618",846,541,177,45,9
E01005058 : Bury 017E,"1,348",705,444,154,28,17
E01004995 : Bury 018A,"1,501",658,526,228,68,21
E01005010 : Bury 018B,"1,606",809,530,180,75,12
E01005012 : Bury 018C,"1,756",854,577,222,87,16
E01005013 : Bury 018D,"2,621","1,370",828,294,98,31
E01004984 : Bury 019A,"1,392",710,458,172,45,7
E01004985 : Bury 019B,"1,465",754,487,174,36,14
E01004989 : Bury 019C,"1,419",729,455,180,42,13
E01005007 : Bury 019D,"1,508",627,525,220,120,16
E01005011 : Bury 019E,"1,431",787,452,146,35,11
E01004983 : Bury 020A,"1,355",680,473,157,37,8
E01004986 : Bury 020B,"1,627",745,532,235,91,24
E01004987 : Bury 020C,"1,310",458,416,268,122,46
E01004988 : Bury 020D,"1,387",615,478,213,70,11
E01004941 : Bury 021A,"1,869",925,580,264,83,17
E01004942 : Bury 021B,"1,700",792,557,236,97,18
E01004943 : Bury 021C,"1,837",934,617,205,65,16
E01004944 : Bury 021D,"1,517",733,563,176,34,11
E01004946 : Bury 021E,"1,679",681,532,288,136,42
E01004969 : Bury 022A,"1,509",621,535,249,75,29
E01004970 : Bury 022B,"1,626",817,541,206,51,11
E01004971 : Bury 022C,"1,478",764,464,185,55,10
E01005034 : Bury 022D,"1,789",930,553,209,73,24
E01004972 : Bury 023A,"1,494",638,520,229,86,21
E01004973 : Bury 023B,"1,544",802,513,166,51,12
E01004975 : Bury 023C,"1,498",737,476,192,72,21
E01005039 : Bury 023D,"1,573",669,510,248,115,31
E01005045 : Bury 023E,"1,620",751,555,229,63,22
E01004974 : Bury 024A,"1,409",709,486,168,40,6
E01005033 : Bury 024B,"1,674","1,004",470,148,35,17
