LSOA21CD,2021 super output area - lower layer,ah4dent,ah4gp,ah4hosp,ah4phar
E01004786,E01004786 : Bolton 006C,1.667,1.2035,1.0832,1.1488
E01004789,E01004789 : Bolton 006D,2.8285,3.7784,3.7784,2.9635
E01004791,E01004791 : Bolton 006E,1.3539,1.9278,1.9278,1.2352
E01004792,E01004792 : Bolton 006F,2.6496,3.0575,2.866,2.51
E01004779,E01004779 : Bolton 007A,1.9588,2.2045,2.317,2.0764
E01004781,E01004781 : Bolton 007B,2.9103,2.6101,0.9706,2.0247
E01004882,E01004882 : Bolton 007C,0.9975,0.8767,2.1723,0.8767
E01004883,E01004883 : Bolton 007D,1.5202,1.3018,2.4996,1.2669
E01004884,E01004884 : Bolton 007E,3.4695,3.6497,3.31,3.6156
E01004864,E01004864 : Bolton 008A,1.1407,1.7777,1.2266,1.0986
E01004867,E01004867 : Bolton 008B,1.1585,0.9601,0.8922,0.9504
E01004921,E01004921 : Bolton 008C,0.68,0.7555,0.9851,0.68
E01004924,E01004924 : Bolton 008D,3.2053,4.0091,3.3194,3.1292
E01004925,E01004925 : Bolton 008E,1.5487,1.3105,1.4197,1.4947
E01004778,E01004778 : Bolton 009A,3.87,5.162,0.6316,0.6907
E01004780,E01004780 : Bolton 009B,3.4906,3.8144,2.6562,2.6591
E01004782,E01004782 : Bolton 009C,4.3504,5.5702,0.9559,0.9866
E01004783,E01004783 : Bolton 009D,3.8711,4.1674,1.6674,2.7369
E01004802,E01004802 : Bolton 010A,1.295,1.52,1.4308,1.52
E01004926,E01004926 : Bolton 010B,1.391,2.5085,0.8104,0.9031
E01004927,E01004927 : Bolton 010C,1.9937,2.1408,0.9247,0.9711
E01004929,E01004929 : Bolton 010D,1.1915,2.0834,0.8721,1.4931
E01004820,E01004820 : Bolton 011A,1.4465,1.6206,1.0344,0.9083
E01004825,E01004825 : Bolton 011B,1.2357,1.7065,1.0837,1.1256
E01004826,E01004826 : Bolton 011C,1.0145,1.3209,1.0338,0.9322
E01004865,E01004865 : Bolton 011D,0.6216,1.5584,0.673,0.5562
E01004866,E01004866 : Bolton 011E,1.5744,1.2957,1.2562,1.27
E01004840,E01004840 : Bolton 012A,2.9177,2.9245,2.9021,2.372
E01004841,E01004841 : Bolton 012B,3.0449,2.7739,3.0548,1.2179
E01004842,E01004842 : Bolton 012C,1.5703,1.1538,1.0854,1.3171
