2021 super output area - lower layer,Total: All usual residents,Disabled under the Equality Act,Disabled under the Equality Act: Day-to-day activities limited a lot,Disabled under the Equality Act: Day-to-day activities limited a little,Not disabled under the Equality Act,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,Not disabled under the Equality Act: No long term physical or mental health conditions,disability_rate,long_term_condition_no_disability_rate,
E01004768 : Bolton 001A,"1,596",214,79,135,"1,382",137,"1,245",13.41 ,8.58 ,78.01 
E01004803 : Bolton 001B,"1,620",212,70,142,"1,408",128,"1,280",13.09 ,7.90 ,79.01 
E01004804 : Bolton 001C,"1,468",202,78,124,"1,266",133,"1,133",13.76 ,9.06 ,77.18 
E01004807 : Bolton 001D,"1,376",152,61,91,"1,224",94,"1,130",11.05 ,6.83 ,82.12 
E01004808 : Bolton 001E,"1,618",191,71,120,"1,427",127,"1,300",11.80 ,7.85 ,80.35 
E01004788 : Bolton 002A,"1,359",255,96,159,"1,104",103,"1,001",18.76 ,7.58 ,73.66 
E01004790 : Bolton 002B,"1,419",265,109,156,"1,154",120,"1,034",18.68 ,8.46 ,72.87 
E01004805 : Bolton 002C,"1,567",247,98,149,"1,320",133,"1,187",15.76 ,8.49 ,75.75 
E01004806 : Bolton 002D,"1,517",283,97,186,"1,234",109,"1,125",18.66 ,7.19 ,74.16 
E01004810 : Bolton 002E,"1,557",208,74,134,"1,349",134,"1,215",13.36 ,8.61 ,78.03 
E01004769 : Bolton 003A,"1,503",227,103,124,"1,276",121,"1,155",15.10 ,8.05 ,76.85 
E01004770 : Bolton 003B,"1,521",218,102,116,"1,303",96,"1,207",14.33 ,6.31 ,79.36 
E01004771 : Bolton 003C,"1,683",237,106,131,"1,446",120,"1,326",14.08 ,7.13 ,78.79 
E01004773 : Bolton 003D,"1,965",326,141,185,"1,639",146,"1,493",16.59 ,7.43 ,75.98 
E01004809 : Bolton 003E,"1,723",352,155,197,"1,371",136,"1,235",20.43 ,7.89 ,71.68 
E01004777 : Bolton 004A,"1,723",441,248,193,"1,282",103,"1,179",25.59 ,5.98 ,68.43 
E01004881 : Bolton 004B,"1,482",481,258,223,"1,001",94,907,32.46 ,6.34 ,61.20 
E01004888 : Bolton 004C,"1,281",252,115,137,"1,029",111,918,19.67 ,8.67 ,71.66 
E01004889 : Bolton 004D,"1,432",312,150,162,"1,120",82,"1,038",21.79 ,5.73 ,72.49 
E01004890 : Bolton 004E,"1,384",290,120,170,"1,094",98,996,20.95 ,7.08 ,71.97 
E01004766 : Bolton 005A,"1,658",368,178,190,"1,290",90,"1,200",22.20 ,5.43 ,72.38 
E01004767 : Bolton 005B,"1,890",360,178,182,"1,530",82,"1,448",19.05 ,4.34 ,76.61 
E01004772 : Bolton 005C,"1,846",359,176,183,"1,487",95,"1,392",19.45 ,5.15 ,75.41 
E01004774 : Bolton 005D,"1,765",364,166,198,"1,401",137,"1,264",20.62 ,7.76 ,71.61 
E01004824 : Bolton 005E,"1,882",267,135,132,"1,615",41,"1,574",14.19 ,2.18 ,83.63 
E01004784 : Bolton 006A,"1,191",216,81,135,975,104,871,18.14 ,8.73 ,73.13 
E01004785 : Bolton 006B,"1,522",327,164,163,"1,195",91,"1,104",21.48 ,5.98 ,72.54 
E01004786 : Bolton 006C,"1,450",268,126,142,"1,182",109,"1,073",18.48 ,7.52 ,74.00 
E01004789 : Bolton 006D,"1,452",240,87,153,"1,212",115,"1,097",16.53 ,7.92 ,75.55 
E01004791 : Bolton 006E,"1,323",221,94,127,"1,102",90,"1,012",16.70 ,6.80 ,76.49 
E01004792 : Bolton 006F,"1,413",225,98,127,"1,188",113,"1,075",15.92 ,8.00 ,76.08 
E01004779 : Bolton 007A,"1,636",303,133,170,"1,333",104,"1,229",18.52 ,6.36 ,75.12 
E01004781 : Bolton 007B,"2,132",294,126,168,"1,838",158,"1,680",13.79 ,7.41 ,78.80 
E01004882 : Bolton 007C,"1,350",267,121,146,"1,083",142,941,19.78 ,10.52 ,69.70 
E01004883 : Bolton 007D,"1,760",249,116,133,"1,511",143,"1,368",14.15 ,8.13 ,77.73 
E01004884 : Bolton 007E,"1,475",227,71,156,"1,248",127,"1,121",15.39 ,8.61 ,76.00 
E01004864 : Bolton 008A,"1,462",256,117,139,"1,206",107,"1,099",17.51 ,7.32 ,75.17 
E01004867 : Bolton 008B,"1,551",245,118,127,"1,306",74,"1,232",15.80 ,4.77 ,79.43 
E01004921 : Bolton 008C,"1,633",274,119,155,"1,359",118,"1,241",16.78 ,7.23 ,76.00 
E01004924 : Bolton 008D,"1,573",205,81,124,"1,368",139,"1,229",13.03 ,8.84 ,78.13 
E01004925 : Bolton 008E,"1,589",252,110,142,"1,337",114,"1,223",15.86 ,7.17 ,76.97 
E01004778 : Bolton 009A,"1,190",228,109,119,962,79,883,19.16 ,6.64 ,74.20 
E01004780 : Bolton 009B,"2,285",326,140,186,"1,959",168,"1,791",14.27 ,7.35 ,78.38 
E01004782 : Bolton 009C,"1,349",253,116,137,"1,096",95,"1,001",18.75 ,7.04 ,74.20 
E01004783 : Bolton 009D,"1,476",283,104,179,"1,193",113,"1,080",19.17 ,7.66 ,73.17 
E01004802 : Bolton 010A,"1,973",450,225,225,"1,523",104,"1,419",22.81 ,5.27 ,71.92 
E01004926 : Bolton 010B,"1,432",305,151,154,"1,127",79,"1,048",21.30 ,5.52 ,73.18 
E01004927 : Bolton 010C,"2,301",511,277,234,"1,790",122,"1,668",22.21 ,5.30 ,72.49 
E01004929 : Bolton 010D,"2,728",465,212,253,"2,263",169,"2,094",17.05 ,6.20 ,76.76 
E01004820 : Bolton 011A,"1,790",315,181,134,"1,475",46,"1,429",17.60 ,2.57 ,79.83 
E01004825 : Bolton 011B,"1,969",291,172,119,"1,678",65,"1,613",14.78 ,3.30 ,81.92 
E01004826 : Bolton 011C,"1,665",235,118,117,"1,430",49,"1,381",14.11 ,2.94 ,82.94 
E01004865 : Bolton 011D,"1,582",322,165,157,"1,260",87,"1,173",20.35 ,5.50 ,74.15 
E01004866 : Bolton 011E,"2,038",429,237,192,"1,609",71,"1,538",21.05 ,3.48 ,75.47 
E01004840 : Bolton 012A,"1,735",309,157,152,"1,426",107,"1,319",17.81 ,6.17 ,76.02 
E01004841 : Bolton 012B,"1,749",418,235,183,"1,331",77,"1,254",23.90 ,4.40 ,71.70 
E01004842 : Bolton 012C,"1,713",267,108,159,"1,446",128,"1,318",15.59 ,7.47 ,76.94 
E01004919 : Bolton 012D,"1,507",235,96,139,"1,272",125,"1,147",15.59 ,8.29 ,76.11 
E01004920 : Bolton 012E,"1,641",326,152,174,"1,315",132,"1,183",19.87 ,8.04 ,72.09 
E01004787 : Bolton 013A,"1,708",428,213,215,"1,280",92,"1,188",25.06 ,5.39 ,69.56 
E01004793 : Bolton 013B,"1,750",446,222,224,"1,304",84,"1,220",25.49 ,4.80 ,69.71 
E01004794 : Bolton 013C,"2,122",477,244,233,"1,645",101,"1,544",22.48 ,4.76 ,72.76 
E01004795 : Bolton 013D,"1,505",402,219,183,"1,103",76,"1,027",26.71 ,5.05 ,68.24 
E01004797 : Bolton 013E,"1,492",302,155,147,"1,190",82,"1,108",20.24 ,5.50 ,74.26 
E01004775 : Bolton 014A,"2,326",376,186,190,"1,950",160,"1,790",16.17 ,6.88 ,76.96 
E01004885 : Bolton 014B,"1,423",190,65,125,"1,233",107,"1,126",13.35 ,7.52 ,79.13 
E01004886 : Bolton 014C,"1,397",370,149,221,"1,027",99,928,26.49 ,7.09 ,66.43 
E01004887 : Bolton 014D,"1,330",337,147,190,993,104,889,25.34 ,7.82 ,66.84 
E01004868 : Bolton 015A,"2,163",278,132,146,"1,885",95,"1,790",12.85 ,4.39 ,82.76 
E01004869 : Bolton 015B,"2,188",363,169,194,"1,825",76,"1,749",16.59 ,3.47 ,79.94 
E01004870 : Bolton 015C,"2,015",413,195,218,"1,602",75,"1,527",20.50 ,3.72 ,75.78 
E01004871 : Bolton 015D,"1,814",211,111,100,"1,603",57,"1,546",11.63 ,3.14 ,85.23 
E01004922 : Bolton 015E,"2,254",361,164,197,"1,893",139,"1,754",16.02 ,6.17 ,77.82 
E01004822 : Bolton 016B,"1,849",328,191,137,"1,521",63,"1,458",17.74 ,3.41 ,78.85 
E01004823 : Bolton 016C,"2,048",521,298,223,"1,527",91,"1,436",25.44 ,4.44 ,70.12 
E01004848 : Bolton 016D,"2,090",535,313,222,"1,555",108,"1,447",25.60 ,5.17 ,69.23 
E01033217 : Bolton 016E,"1,226",300,135,165,926,48,878,24.47 ,3.92 ,71.62 
E01033220 : Bolton 016F,"1,313",341,161,180,972,56,916,25.97 ,4.27 ,69.76 
E01004818 : Bolton 017A,"1,724",368,189,179,"1,356",93,"1,263",21.35 ,5.39 ,73.26 
E01004819 : Bolton 017B,"1,518",316,176,140,"1,202",89,"1,113",20.82 ,5.86 ,73.32 
E01004928 : Bolton 017C,"1,378",286,143,143,"1,092",101,991,20.75 ,7.33 ,71.92 
E01004930 : Bolton 017D,"1,514",265,92,173,"1,249",111,"1,138",17.50 ,7.33 ,75.17 
E01004931 : Bolton 017E,"1,564",383,195,188,"1,181",108,"1,073",24.49 ,6.91 ,68.61 
E01004932 : Bolton 017F,"1,481",330,152,178,"1,151",113,"1,038",22.28 ,7.63 ,70.09 
E01004834 : Bolton 018A,"1,746",230,108,122,"1,516",80,"1,436",13.17 ,4.58 ,82.25 
E01004838 : Bolton 018B,"2,008",387,210,177,"1,621",73,"1,548",19.27 ,3.64 ,77.09 
E01004843 : Bolton 018C,"1,558",214,91,123,"1,344",127,"1,217",13.74 ,8.15 ,78.11 
E01004845 : Bolton 018D,"1,870",273,134,139,"1,597",148,"1,449",14.60 ,7.91 ,77.49 
E01004923 : Bolton 018E,"1,675",252,98,154,"1,423",103,"1,320",15.04 ,6.15 ,78.81 
E01004796 : Bolton 019A,"1,575",293,127,166,"1,282",98,"1,184",18.60 ,6.22 ,75.17 
E01004798 : Bolton 019B,"1,613",346,161,185,"1,267",93,"1,174",21.45 ,5.77 ,72.78 
E01004799 : Bolton 019C,"1,273",271,122,149,"1,002",94,908,21.29 ,7.38 ,71.33 
E01004800 : Bolton 019D,"1,291",228,84,144,"1,063",102,961,17.66 ,7.90 ,74.44 
E01004801 : Bolton 019E,"1,674",425,188,237,"1,249",80,"1,169",25.39 ,4.78 ,69.83 
E01004917 : Bolton 019F,"2,299",428,209,219,"1,871",139,"1,732",18.62 ,6.05 ,75.34 
E01004835 : Bolton 020A,"1,462",224,88,136,"1,238",97,"1,141",15.32 ,6.63 ,78.04 
E01004836 : Bolton 020B,"1,744",306,130,176,"1,438",120,"1,318",17.55 ,6.88 ,75.57 
E01004837 : Bolton 020C,"1,561",211,93,118,"1,350",105,"1,245",13.52 ,6.73 ,79.76 
E01004844 : Bolton 020D,"1,573",180,74,106,"1,393",136,"1,257",11.44 ,8.65 ,79.91 
E01004897 : Bolton 020E,"1,013",157,67,90,856,74,782,15.50 ,7.31 ,77.20 
E01004827 : Bolton 021A,"1,993",317,159,158,"1,676",67,"1,609",15.91 ,3.36 ,80.73 
E01004849 : Bolton 021B,"1,795",222,124,98,"1,573",52,"1,521",12.37 ,2.90 ,84.74 
E01004850 : Bolton 021C,"2,293",305,175,130,"1,988",61,"1,927",13.30 ,2.66 ,84.04 
E01004851 : Bolton 021D,"1,691",321,189,132,"1,370",43,"1,327",18.98 ,2.54 ,78.47 
E01004853 : Bolton 021E,"1,574",262,138,124,"1,312",43,"1,269",16.65 ,2.73 ,80.62 
E01004811 : Bolton 022A,"1,845",326,175,151,"1,519",46,"1,473",17.67 ,2.49 ,79.84 
E01004812 : Bolton 022B,"2,399",318,154,164,"2,081",73,"2,008",13.26 ,3.04 ,83.70 
E01004813 : Bolton 022C,"1,749",286,171,115,"1,463",55,"1,408",16.35 ,3.14 ,80.50 
E01004815 : Bolton 022D,"1,785",241,118,123,"1,544",64,"1,480",13.50 ,3.59 ,82.91 
E01004817 : Bolton 022E,"2,064",358,156,202,"1,706",139,"1,567",17.34 ,6.73 ,75.92 
E01004828 : Bolton 023A,"2,019",301,149,152,"1,718",68,"1,650",14.91 ,3.37 ,81.72 
E01004829 : Bolton 023B,"1,458",205,108,97,"1,253",66,"1,187",14.06 ,4.53 ,81.41 
E01004832 : Bolton 023C,"1,641",261,114,147,"1,380",86,"1,294",15.90 ,5.24 ,78.85 
E01004854 : Bolton 023D,"1,658",254,146,108,"1,404",38,"1,366",15.32 ,2.29 ,82.39 
E01004878 : Bolton 023E,"1,697",218,114,104,"1,479",81,"1,398",12.85 ,4.77 ,82.38 
E01004911 : Bolton 024A,"1,539",367,168,199,"1,172",133,"1,039",23.85 ,8.64 ,67.51 
E01004912 : Bolton 024B,"1,436",311,150,161,"1,125",108,"1,017",21.66 ,7.52 ,70.82 
E01004913 : Bolton 024C,"1,955",351,140,211,"1,604",127,"1,477",17.95 ,6.50 ,75.55 
E01004914 : Bolton 024D,"1,173",253,101,152,920,90,830,21.57 ,7.67 ,70.76 
E01004915 : Bolton 024E,"1,274",245,103,142,"1,029",107,922,19.23 ,8.40 ,72.37 
E01004916 : Bolton 024F,"1,467",376,188,188,"1,091",99,992,25.63 ,6.75 ,67.62 
E01004918 : Bolton 024G,"1,225",204,87,117,"1,021",119,902,16.65 ,9.71 ,73.63 
E01004846 : Bolton 025A,"1,410",200,110,90,"1,210",45,"1,165",14.18 ,3.19 ,82.62 
E01004847 : Bolton 025B,"2,281",371,206,165,"1,910",82,"1,828",16.26 ,3.59 ,80.14 
E01004852 : Bolton 025C,"1,732",218,104,114,"1,514",52,"1,462",12.59 ,3.00 ,84.41 
E01004877 : Bolton 025D,"2,076",359,190,169,"1,717",53,"1,664",17.29 ,2.55 ,80.15 
E01004879 : Bolton 025E,"1,657",250,148,102,"1,407",49,"1,358",15.09 ,2.96 ,81.96 
E01004830 : Bolton 026A,"1,754",350,188,162,"1,404",80,"1,324",19.95 ,4.56 ,75.48 
E01004831 : Bolton 026B,"1,827",248,104,144,"1,579",96,"1,483",13.57 ,5.25 ,81.17 
E01004833 : Bolton 026C,"1,529",254,118,136,"1,275",94,"1,181",16.61 ,6.15 ,77.24 
E01004839 : Bolton 026D,"2,370",498,252,246,"1,872",108,"1,764",21.01 ,4.56 ,74.43 
E01004814 : Bolton 027A,"1,604",259,137,122,"1,345",75,"1,270",16.15 ,4.68 ,79.18 
E01004855 : Bolton 027B,"1,482",274,130,144,"1,208",90,"1,118",18.49 ,6.07 ,75.44 
E01004856 : Bolton 027C,"1,537",326,148,178,"1,211",71,"1,140",21.21 ,4.62 ,74.17 
E01004857 : Bolton 027D,"1,902",312,157,155,"1,590",80,"1,510",16.40 ,4.21 ,79.39 
E01004891 : Bolton 028A,"1,540",280,119,161,"1,260",125,"1,135",18.18 ,8.12 ,73.70 
E01004893 : Bolton 028B,"1,526",236,98,138,"1,290",135,"1,155",15.47 ,8.85 ,75.69 
E01004894 : Bolton 028C,"1,925",337,158,179,"1,588",118,"1,470",17.51 ,6.13 ,76.36 
E01004901 : Bolton 028E,"1,764",255,98,157,"1,509",136,"1,373",14.46 ,7.71 ,77.83 
E01033218 : Bolton 028F,"1,573",193,83,110,"1,380",101,"1,279",12.27 ,6.42 ,81.31 
E01033219 : Bolton 028G,"1,421",189,80,109,"1,232",95,"1,137",13.30 ,6.69 ,80.01 
E01004816 : Bolton 029A,"2,937",333,160,173,"2,604",74,"2,530",11.34 ,2.52 ,86.14 
E01004872 : Bolton 029B,"1,694",309,158,151,"1,385",97,"1,288",18.24 ,5.73 ,76.03 
E01004873 : Bolton 029C,"2,021",332,159,173,"1,689",75,"1,614",16.43 ,3.71 ,79.86 
E01004875 : Bolton 029D,"1,671",306,140,166,"1,365",98,"1,267",18.31 ,5.86 ,75.82 
E01004880 : Bolton 029E,"1,480",198,77,121,"1,282",72,"1,210",13.38 ,4.86 ,81.76 
E01004892 : Bolton 030A,"1,581",271,111,160,"1,310",130,"1,180",17.14 ,8.22 ,74.64 
E01004896 : Bolton 030B,"1,314",271,150,121,"1,043",96,947,20.62 ,7.31 ,72.07 
E01004899 : Bolton 030C,"1,596",276,135,141,"1,320",96,"1,224",17.29 ,6.02 ,76.69 
E01004900 : Bolton 030D,"1,615",227,97,130,"1,388",74,"1,314",14.06 ,4.58 ,81.36 
E01004776 : Bolton 031A,"1,822",379,149,230,"1,443",126,"1,317",20.80 ,6.92 ,72.28 
E01004895 : Bolton 031B,"1,325",330,162,168,995,98,897,24.91 ,7.40 ,67.70 
E01004936 : Bolton 031C,"2,173",432,202,230,"1,741",152,"1,589",19.88 ,6.99 ,73.12 
E01004938 : Bolton 031D,"1,548",376,212,164,"1,172",99,"1,073",24.29 ,6.40 ,69.32 
E01004939 : Bolton 031E,"1,599",332,156,176,"1,267",104,"1,163",20.76 ,6.50 ,72.73 
E01004858 : Bolton 032A,"1,584",389,184,205,"1,195",93,"1,102",24.56 ,5.87 ,69.57 
E01004859 : Bolton 032B,"1,507",427,254,173,"1,080",58,"1,022",28.33 ,3.85 ,67.82 
E01004860 : Bolton 032C,"1,470",298,142,156,"1,172",94,"1,078",20.27 ,6.39 ,73.33 
E01004902 : Bolton 032D,"1,847",384,177,207,"1,463",136,"1,327",20.79 ,7.36 ,71.85 
E01004906 : Bolton 032E,"1,795",453,256,197,"1,342",108,"1,234",25.24 ,6.02 ,68.75 
E01004861 : Bolton 033A,"1,962",376,184,192,"1,586",103,"1,483",19.16 ,5.25 ,75.59 
E01004862 : Bolton 033B,"1,436",347,174,173,"1,089",68,"1,021",24.16 ,4.74 ,71.10 
E01004863 : Bolton 033C,"1,586",402,222,180,"1,184",93,"1,091",25.35 ,5.86 ,68.79 
E01004874 : Bolton 033D,"1,755",328,149,179,"1,427",111,"1,316",18.69 ,6.32 ,74.99 
E01004876 : Bolton 033E,"1,968",453,242,211,"1,515",135,"1,380",23.02 ,6.86 ,70.12 
E01004903 : Bolton 034A,"1,443",175,73,102,"1,268",97,"1,171",12.13 ,6.72 ,81.15 
E01004904 : Bolton 034B,"1,681",262,110,152,"1,419",133,"1,286",15.59 ,7.91 ,76.50 
E01004905 : Bolton 034C,"1,595",310,149,161,"1,285",101,"1,184",19.44 ,6.33 ,74.23 
E01004907 : Bolton 034D,"1,309",299,119,180,"1,010",77,933,22.84 ,5.88 ,71.28 
E01004908 : Bolton 034E,"1,296",268,126,142,"1,028",88,940,20.68 ,6.79 ,72.53 
E01004909 : Bolton 034F,"1,397",331,152,179,"1,066",78,988,23.69 ,5.58 ,70.72 
E01004910 : Bolton 034G,"2,051",296,139,157,"1,755",134,"1,621",14.43 ,6.53 ,79.03 
E01004933 : Bolton 035A,"1,314",218,92,126,"1,096",100,996,16.59 ,7.61 ,75.80 
E01004934 : Bolton 035B,"1,442",241,101,140,"1,201",118,"1,083",16.71 ,8.18 ,75.10 
E01004935 : Bolton 035C,"1,838",270,111,159,"1,568",131,"1,437",14.69 ,7.13 ,78.18 
E01004937 : Bolton 035D,"1,637",221,75,146,"1,416",123,"1,293",13.50 ,7.51 ,78.99 
E01004940 : Bolton 035E,"1,431",288,136,152,"1,143",129,"1,014",20.13 ,9.01 ,70.86 
E01005014 : Bury 001A,"1,464",257,105,152,"1,207",121,"1,086",17.55 ,8.27 ,74.18 
E01005015 : Bury 001B,"1,493",334,168,166,"1,159",117,"1,042",22.37 ,7.84 ,69.79 
E01005016 : Bury 001C,"1,497",247,84,163,"1,250",158,"1,092",16.50 ,10.55 ,72.95 
E01005017 : Bury 001D,"1,835",261,116,145,"1,574",142,"1,432",14.22 ,7.74 ,78.04 
E01005018 : Bury 001E,"1,533",245,99,146,"1,288",125,"1,163",15.98 ,8.15 ,75.86 
E01005021 : Bury 001F,"1,218",130,46,84,"1,088",105,983,10.67 ,8.62 ,80.71 
E01005019 : Bury 002A,"1,502",237,92,145,"1,265",131,"1,134",15.78 ,8.72 ,75.50 
E01005023 : Bury 002B,"1,278",277,128,149,"1,001",125,876,21.67 ,9.78 ,68.54 
E01005046 : Bury 002C,"1,481",236,90,146,"1,245",132,"1,113",15.94 ,8.91 ,75.15 
E01005048 : Bury 002D,"1,658",209,59,150,"1,449",131,"1,318",12.61 ,7.90 ,79.49 
E01005020 : Bury 003A,"1,362",166,51,115,"1,196",125,"1,071",12.19 ,9.18 ,78.63 
E01005022 : Bury 003B,"1,497",205,52,153,"1,292",146,"1,146",13.69 ,9.75 ,76.55 
E01005047 : Bury 003C,"1,476",313,157,156,"1,163",126,"1,037",21.21 ,8.54 ,70.26 
E01005049 : Bury 003D,"1,643",279,113,166,"1,364",132,"1,232",16.98 ,8.03 ,74.98 
E01005051 : Bury 003E,"1,524",335,148,187,"1,189",135,"1,054",21.98 ,8.86 ,69.16 
E01004976 : Bury 004A,"1,546",357,203,154,"1,189",101,"1,088",23.09 ,6.53 ,70.38 
E01004977 : Bury 004B,"1,708",448,218,230,"1,260",112,"1,148",26.23 ,6.56 ,67.21 
E01004978 : Bury 004C,"1,857",356,157,199,"1,501",124,"1,377",19.17 ,6.68 ,74.15 
E01004981 : Bury 004D,"1,474",328,159,169,"1,146",96,"1,050",22.25 ,6.51 ,71.23 
E01004982 : Bury 004E,"1,488",279,97,182,"1,209",114,"1,095",18.75 ,7.66 ,73.59 
E01004961 : Bury 005A,"1,449",284,118,166,"1,165",123,"1,042",19.60 ,8.49 ,71.91 
E01004965 : Bury 005B,"1,238",204,84,120,"1,034",100,934,16.48 ,8.08 ,75.44 
E01004966 : Bury 005C,"1,816",378,171,207,"1,438",133,"1,305",20.81 ,7.32 ,71.86 
E01004967 : Bury 005D,"1,191",169,75,94,"1,022",94,928,14.19 ,7.89 ,77.92 
E01004963 : Bury 006A,"1,478",276,121,155,"1,202",123,"1,079",18.67 ,8.32 ,73.00 
E01004968 : Bury 006B,"1,484",233,91,142,"1,251",135,"1,116",15.70 ,9.10 ,75.20 
E01005050 : Bury 006C,"2,125",311,107,204,"1,814",145,"1,669",14.64 ,6.82 ,78.54 
E01005052 : Bury 006D,"1,443",235,94,141,"1,208",128,"1,080",16.29 ,8.87 ,74.84 
E01005053 : Bury 006E,"1,529",300,132,168,"1,229",108,"1,121",19.62 ,7.06 ,73.32 
E01004954 : Bury 007A,"1,450",285,118,167,"1,165",109,"1,056",19.66 ,7.52 ,72.83 
E01004955 : Bury 007B,"1,358",285,133,152,"1,073",96,977,20.99 ,7.07 ,71.94 
E01004956 : Bury 007C,"1,776",425,209,216,"1,351",134,"1,217",23.93 ,7.55 ,68.52 
E01004957 : Bury 007D,"1,900",421,196,225,"1,479",94,"1,385",22.16 ,4.95 ,72.89 
E01004960 : Bury 007E,"1,670",404,196,208,"1,266",82,"1,184",24.19 ,4.91 ,70.90 
E01004958 : Bury 008A,"1,508",341,164,177,"1,167",103,"1,064",22.61 ,6.83 ,70.56 
E01004959 : Bury 008B,"1,734",338,167,171,"1,396",102,"1,294",19.49 ,5.88 ,74.63 
E01004979 : Bury 008C,"1,812",368,200,168,"1,444",76,"1,368",20.31 ,4.19 ,75.50 
E01004980 : Bury 008D,"1,454",252,111,141,"1,202",73,"1,129",17.33 ,5.02 ,77.65 
E01005024 : Bury 008E,"2,649",417,196,221,"2,232",129,"2,103",15.74 ,4.87 ,79.39 
E01005026 : Bury 008F,"2,197",254,130,124,"1,943",84,"1,859",11.56 ,3.82 ,84.62 
E01004947 : Bury 009A,"1,547",340,145,195,"1,207",103,"1,104",21.98 ,6.66 ,71.36 
E01004948 : Bury 009B,"1,870",440,209,231,"1,430",138,"1,292",23.53 ,7.38 ,69.09 
E01004962 : Bury 009C,"2,013",294,114,180,"1,719",133,"1,586",14.61 ,6.61 ,78.79 
E01004964 : Bury 009D,"1,852",355,165,190,"1,497",123,"1,374",19.17 ,6.64 ,74.19 
E01004949 : Bury 010A,"1,413",188,86,102,"1,225",124,"1,101",13.31 ,8.78 ,77.92 
E01004950 : Bury 010B,"1,488",214,91,123,"1,274",138,"1,136",14.38 ,9.27 ,76.34 
E01004951 : Bury 010C,"1,562",307,127,180,"1,255",117,"1,138",19.65 ,7.49 ,72.86 
E01004952 : Bury 010D,"1,337",246,97,149,"1,091",123,968,18.40 ,9.20 ,72.40 
E01004953 : Bury 010E,"1,533",260,107,153,"1,273",92,"1,181",16.96 ,6.00 ,77.04 
E01005025 : Bury 011A,"1,699",311,142,169,"1,388",110,"1,278",18.30 ,6.47 ,75.22 
E01005027 : Bury 011B,"1,860",325,136,189,"1,535",94,"1,441",17.47 ,5.05 ,77.47 
E01005028 : Bury 011C,"2,233",466,232,234,"1,767",88,"1,679",20.87 ,3.94 ,75.19 
E01005029 : Bury 011D,"1,981",323,155,168,"1,658",112,"1,546",16.30 ,5.65 ,78.04 
E01005000 : Bury 012A,"1,471",246,117,129,"1,225",126,"1,099",16.72 ,8.57 ,74.71 
E01005001 : Bury 012B,"1,280",174,78,96,"1,106",105,"1,001",13.59 ,8.20 ,78.20 
E01005005 : Bury 012C,"1,410",213,82,131,"1,197",122,"1,075",15.11 ,8.65 ,76.24 
E01005006 : Bury 012D,"2,024",363,152,211,"1,661",120,"1,541",17.93 ,5.93 ,76.14 
E01005030 : Bury 013A,"1,786",403,187,216,"1,383",104,"1,279",22.56 ,5.82 ,71.61 
E01005054 : Bury 013B,"1,572",288,135,153,"1,284",119,"1,165",18.32 ,7.57 ,74.11 
E01005059 : Bury 013C,"1,787",297,147,150,"1,490",108,"1,382",16.62 ,6.04 ,77.34 
E01005060 : Bury 013D,"1,734",257,117,140,"1,477",140,"1,337",14.82 ,8.07 ,77.10 
E01004997 : Bury 014A,"1,550",382,198,184,"1,168",121,"1,047",24.65 ,7.81 ,67.55 
E01004998 : Bury 014B,"1,658",340,147,193,"1,318",133,"1,185",20.51 ,8.02 ,71.47 
E01004999 : Bury 014C,"1,474",279,120,159,"1,195",107,"1,088",18.93 ,7.26 ,73.81 
E01005002 : Bury 014D,"1,505",285,118,167,"1,220",102,"1,118",18.94 ,6.78 ,74.29 
E01005003 : Bury 014E,"1,485",345,173,172,"1,140",89,"1,051",23.23 ,5.99 ,70.77 
E01004991 : Bury 015A,"1,382",250,95,155,"1,132",94,"1,038",18.09 ,6.80 ,75.11 
E01004992 : Bury 015B,"1,427",268,127,141,"1,159",91,"1,068",18.78 ,6.38 ,74.84 
E01004993 : Bury 015C,"1,990",342,152,190,"1,648",137,"1,511",17.19 ,6.88 ,75.93 
E01004994 : Bury 015D,"1,383",255,113,142,"1,128",72,"1,056",18.44 ,5.21 ,76.36 
E01004990 : Bury 016A,"1,587",320,160,160,"1,267",90,"1,177",20.16 ,5.67 ,74.17 
E01004996 : Bury 016B,"1,509",423,225,198,"1,086",87,999,28.03 ,5.77 ,66.20 
E01005004 : Bury 016C,"1,582",528,278,250,"1,054",88,966,33.38 ,5.56 ,61.06 
E01005008 : Bury 016D,"2,172",510,267,243,"1,662",139,"1,523",23.48 ,6.40 ,70.12 
E01005009 : Bury 016E,"1,766",396,171,225,"1,370",122,"1,248",22.42 ,6.91 ,70.67 
E01004945 : Bury 017A,"1,536",300,123,177,"1,236",117,"1,119",19.53 ,7.62 ,72.85 
E01005055 : Bury 017B,"1,448",246,85,161,"1,202",108,"1,094",16.99 ,7.46 ,75.55 
E01005056 : Bury 017C,"1,273",250,98,152,"1,023",103,920,19.64 ,8.09 ,72.27 
E01005057 : Bury 017D,"1,618",225,92,133,"1,393",102,"1,291",13.91 ,6.30 ,79.79 
E01005058 : Bury 017E,"1,346",196,79,117,"1,150",108,"1,042",14.56 ,8.02 ,77.41 
E01004995 : Bury 018A,"1,501",270,120,150,"1,231",109,"1,122",17.99 ,7.26 ,74.75 
E01005010 : Bury 018B,"1,605",247,112,135,"1,358",117,"1,241",15.39 ,7.29 ,77.32 
